,sceneDateString,platform,dt,nFrames
0,2014-10-10,Sentinel-1A,,2
1,2014-11-03,Sentinel-1A,24.0,5
2,2014-11-27,Sentinel-1A,24.0,6
3,2014-12-21,Sentinel-1A,24.0,6
4,2015-01-14,Sentinel-1A,24.0,6
5,2015-02-07,Sentinel-1A,24.0,7
6,2015-03-15,Sentinel-1A,36.0,5
7,2015-03-27,Sentinel-1A,12.0,6
8,2015-04-08,Sentinel-1A,12.0,6
9,2015-05-02,Sentinel-1A,24.0,6
10,2015-05-26,Sentinel-1A,24.0,7
11,2015-06-19,Sentinel-1A,24.0,7
12,2015-07-13,Sentinel-1A,24.0,7
13,2015-08-06,Sentinel-1A,24.0,7
14,2015-08-30,Sentinel-1A,24.0,6
15,2015-10-17,Sentinel-1A,48.0,7
16,2016-02-14,Sentinel-1A,120.0,6
17,2016-03-09,Sentinel-1A,24.0,6
18,2016-04-26,Sentinel-1A,48.0,6
19,2016-05-20,Sentinel-1A,24.0,6
20,2016-06-13,Sentinel-1A,24.0,6
21,2016-07-07,Sentinel-1A,24.0,6
22,2016-07-31,Sentinel-1A,24.0,6
23,2016-08-24,Sentinel-1A,24.0,6
24,2016-09-17,Sentinel-1A,24.0,6
25,2016-10-05,Sentinel-1B,18.0,1
26,2016-10-11,Sentinel-1A,6.0,2
27,2016-10-17,Sentinel-1B,6.0,3
28,2016-10-29,Sentinel-1B,12.0,1
29,2016-11-04,Sentinel-1A,6.0,2
30,2016-11-10,Sentinel-1B,6.0,3
31,2016-11-22,Sentinel-1B,12.0,1
32,2016-11-28,Sentinel-1A,6.0,2
33,2016-12-04,Sentinel-1B,6.0,3
34,2016-12-16,Sentinel-1B,12.0,3
35,2016-12-22,Sentinel-1A,6.0,2
36,2016-12-28,Sentinel-1B,6.0,3
37,2017-01-09,Sentinel-1B,12.0,3
38,2017-01-15,Sentinel-1A,6.0,2
39,2017-01-21,Sentinel-1B,6.0,3
40,2017-02-02,Sentinel-1B,12.0,3
41,2017-02-08,Sentinel-1A,6.0,3
42,2017-02-14,Sentinel-1B,6.0,3
43,2017-02-26,Sentinel-1B,12.0,6
44,2017-03-10,Sentinel-1B,12.0,3
45,2017-04-03,Sentinel-1B,24.0,6
46,2017-04-15,Sentinel-1B,12.0,6
47,2017-04-27,Sentinel-1B,12.0,6
48,2017-05-09,Sentinel-1B,12.0,6
49,2017-05-21,Sentinel-1B,12.0,6
50,2017-06-02,Sentinel-1B,12.0,6
51,2017-06-14,Sentinel-1B,12.0,6
52,2017-06-26,Sentinel-1B,12.0,6
53,2017-07-08,Sentinel-1B,12.0,6
54,2017-07-20,Sentinel-1B,12.0,6
55,2017-08-01,Sentinel-1B,12.0,6
56,2017-08-25,Sentinel-1B,24.0,6
57,2017-09-06,Sentinel-1B,12.0,6
58,2017-09-18,Sentinel-1B,12.0,6
59,2017-09-30,Sentinel-1B,12.0,6
60,2017-10-12,Sentinel-1B,12.0,6
