,sceneDateString,platform,dt,nFrames
0,2014-10-15,Sentinel-1A,0,1
1,2014-11-08,Sentinel-1A,24,6
2,2014-12-02,Sentinel-1A,24,6
3,2014-12-26,Sentinel-1A,24,6
4,2015-01-19,Sentinel-1A,24,6
5,2015-02-12,Sentinel-1A,24,6
6,2015-03-08,Sentinel-1A,24,6
7,2015-04-01,Sentinel-1A,24,6
8,2015-04-25,Sentinel-1A,24,6
9,2015-05-19,Sentinel-1A,24,6
10,2015-06-12,Sentinel-1A,24,6
11,2015-07-06,Sentinel-1A,24,6
12,2015-07-30,Sentinel-1A,24,6
13,2015-08-23,Sentinel-1A,24,6
14,2015-09-16,Sentinel-1A,24,6
15,2015-10-10,Sentinel-1A,24,6
16,2015-11-03,Sentinel-1A,24,6
17,2015-11-27,Sentinel-1A,24,6
18,2015-12-21,Sentinel-1A,24,6
19,2016-01-14,Sentinel-1A,24,6
20,2016-02-07,Sentinel-1A,24,6
21,2016-03-02,Sentinel-1A,24,6
22,2016-03-26,Sentinel-1A,24,5
23,2016-04-19,Sentinel-1A,24,6
24,2016-05-13,Sentinel-1A,24,6
25,2016-06-06,Sentinel-1A,24,6
26,2016-06-30,Sentinel-1A,24,6
27,2016-07-24,Sentinel-1A,24,6
28,2016-08-17,Sentinel-1A,24,6
29,2016-09-10,Sentinel-1A,24,6
30,2016-10-04,Sentinel-1A,24,5
31,2016-10-16,Sentinel-1A,12,1
32,2016-10-28,Sentinel-1A,12,5
33,2016-11-09,Sentinel-1A,12,1
34,2016-11-21,Sentinel-1A,12,5
35,2016-12-03,Sentinel-1A,12,1
36,2016-12-15,Sentinel-1A,12,5
37,2016-12-27,Sentinel-1A,12,1
38,2017-01-08,Sentinel-1A,12,5
39,2017-01-26,Sentinel-1B,18,1
40,2017-02-01,Sentinel-1A,6,5
41,2017-02-13,Sentinel-1A,12,4
42,2017-02-25,Sentinel-1A,12,5
43,2017-03-03,Sentinel-1B,6,1
44,2017-03-09,Sentinel-1A,6,5
45,2017-03-15,Sentinel-1B,6,1
46,2017-03-21,Sentinel-1A,6,5
47,2017-03-27,Sentinel-1B,6,1
48,2017-04-02,Sentinel-1A,6,5
49,2017-04-08,Sentinel-1B,6,1
50,2017-04-14,Sentinel-1A,6,5
51,2017-04-20,Sentinel-1B,6,1
52,2017-04-26,Sentinel-1A,6,5
53,2017-05-02,Sentinel-1B,6,1
54,2017-05-08,Sentinel-1A,6,5
55,2017-05-14,Sentinel-1B,6,1
56,2017-05-20,Sentinel-1A,6,5
57,2017-05-26,Sentinel-1B,6,1
58,2017-06-01,Sentinel-1A,6,5
59,2017-06-13,Sentinel-1A,12,5
60,2017-06-25,Sentinel-1A,12,5
61,2017-07-07,Sentinel-1A,12,5
62,2017-07-13,Sentinel-1B,6,1
63,2017-07-19,Sentinel-1A,6,5
64,2017-07-25,Sentinel-1B,6,1
65,2017-07-31,Sentinel-1A,6,5
66,2017-08-06,Sentinel-1B,6,1
67,2017-08-12,Sentinel-1A,6,5
68,2017-08-18,Sentinel-1B,6,1
69,2017-08-24,Sentinel-1A,6,5
70,2017-08-30,Sentinel-1B,6,1
71,2017-09-05,Sentinel-1A,6,5
72,2017-09-11,Sentinel-1B,6,1
73,2017-09-17,Sentinel-1A,6,5
74,2017-09-23,Sentinel-1B,6,1
75,2017-09-29,Sentinel-1A,6,5
76,2017-10-11,Sentinel-1A,12,5
