,sceneDateString,platform,dt,nFrames
0,2014-12-14,Sentinel-1A,,2
1,2015-01-07,Sentinel-1A,24.0,3
2,2015-01-31,Sentinel-1A,24.0,3
3,2015-02-24,Sentinel-1A,24.0,8
4,2015-03-20,Sentinel-1A,24.0,8
5,2015-04-01,Sentinel-1A,12.0,8
6,2015-04-13,Sentinel-1A,12.0,2
7,2015-05-07,Sentinel-1A,24.0,6
8,2015-05-31,Sentinel-1A,24.0,8
9,2015-06-24,Sentinel-1A,24.0,6
10,2015-07-18,Sentinel-1A,24.0,6
11,2015-08-11,Sentinel-1A,24.0,6
12,2015-09-04,Sentinel-1A,24.0,5
13,2015-11-15,Sentinel-1A,72.0,6
14,2016-01-26,Sentinel-1A,72.0,6
15,2016-02-19,Sentinel-1A,24.0,6
16,2016-03-14,Sentinel-1A,24.0,6
17,2016-04-07,Sentinel-1A,24.0,6
18,2016-05-01,Sentinel-1A,24.0,6
19,2016-05-25,Sentinel-1A,24.0,6
20,2016-08-05,Sentinel-1A,72.0,6
21,2016-08-29,Sentinel-1A,24.0,6
22,2016-09-22,Sentinel-1A,24.0,6
23,2016-10-10,Sentinel-1B,18.0,1
24,2016-10-22,Sentinel-1B,12.0,3
25,2016-11-03,Sentinel-1B,12.0,1
26,2016-11-15,Sentinel-1B,12.0,3
27,2016-11-27,Sentinel-1B,12.0,1
28,2016-12-03,Sentinel-1A,6.0,2
29,2016-12-09,Sentinel-1B,6.0,3
30,2016-12-21,Sentinel-1B,12.0,1
31,2016-12-27,Sentinel-1A,6.0,2
32,2017-01-02,Sentinel-1B,6.0,5
33,2017-01-14,Sentinel-1B,12.0,2
34,2017-01-20,Sentinel-1A,6.0,2
35,2017-01-26,Sentinel-1B,6.0,5
36,2017-02-07,Sentinel-1B,12.0,1
37,2017-02-19,Sentinel-1B,12.0,5
38,2017-03-03,Sentinel-1B,12.0,6
39,2017-03-15,Sentinel-1B,12.0,3
40,2017-03-27,Sentinel-1B,12.0,5
41,2017-04-08,Sentinel-1B,12.0,5
42,2017-04-20,Sentinel-1B,12.0,1
43,2017-05-02,Sentinel-1B,12.0,1
44,2017-05-14,Sentinel-1B,12.0,4
45,2017-05-26,Sentinel-1B,12.0,6
46,2017-06-07,Sentinel-1B,12.0,2
47,2017-07-01,Sentinel-1B,24.0,2
48,2017-07-13,Sentinel-1B,12.0,2
49,2017-08-06,Sentinel-1B,24.0,6
50,2017-08-18,Sentinel-1B,12.0,6
51,2017-09-11,Sentinel-1B,24.0,6
52,2017-09-23,Sentinel-1B,12.0,2
53,2017-10-05,Sentinel-1B,12.0,2
