,sceneDateString,platform,dt,nFrames
0,2015-03-01,Sentinel-1A,0,3
1,2015-03-13,Sentinel-1A,12,1
2,2015-03-25,Sentinel-1A,12,3
3,2015-04-18,Sentinel-1A,24,3
4,2015-05-24,Sentinel-1A,36,5
5,2015-06-05,Sentinel-1A,12,2
6,2015-06-17,Sentinel-1A,12,5
7,2015-07-11,Sentinel-1A,24,5
8,2015-07-23,Sentinel-1A,12,2
9,2015-08-16,Sentinel-1A,24,2
10,2015-08-28,Sentinel-1A,12,1
11,2015-09-09,Sentinel-1A,12,2
12,2015-09-21,Sentinel-1A,12,1
13,2015-10-03,Sentinel-1A,12,2
14,2015-10-27,Sentinel-1A,24,2
15,2016-01-19,Sentinel-1A,84,6
16,2016-02-12,Sentinel-1A,24,6
17,2016-03-19,Sentinel-1A,36,6
18,2016-04-12,Sentinel-1A,24,2
19,2016-04-24,Sentinel-1A,12,6
20,2016-05-18,Sentinel-1A,24,6
21,2016-05-30,Sentinel-1A,12,2
22,2016-06-11,Sentinel-1A,12,6
23,2016-07-05,Sentinel-1A,24,1
24,2016-07-17,Sentinel-1A,12,2
25,2016-07-29,Sentinel-1A,12,6
26,2016-08-10,Sentinel-1A,12,2
27,2016-08-22,Sentinel-1A,12,5
28,2016-09-03,Sentinel-1A,12,2
29,2016-09-27,Sentinel-1A,24,2
30,2016-10-03,Sentinel-1B,6,1
31,2016-10-09,Sentinel-1A,6,2
32,2016-10-15,Sentinel-1B,6,3
33,2016-10-21,Sentinel-1A,6,2
34,2016-10-27,Sentinel-1B,6,1
35,2016-11-02,Sentinel-1A,6,2
36,2016-11-08,Sentinel-1B,6,3
37,2016-11-14,Sentinel-1A,6,2
38,2016-11-20,Sentinel-1B,6,1
39,2016-11-26,Sentinel-1A,6,2
40,2016-12-02,Sentinel-1B,6,3
41,2016-12-08,Sentinel-1A,6,2
42,2016-12-14,Sentinel-1B,6,3
43,2016-12-20,Sentinel-1A,6,2
44,2016-12-26,Sentinel-1B,6,4
45,2017-01-01,Sentinel-1A,6,2
46,2017-01-07,Sentinel-1B,6,3
47,2017-01-13,Sentinel-1A,6,2
48,2017-01-19,Sentinel-1B,6,3
49,2017-01-25,Sentinel-1A,6,2
50,2017-01-31,Sentinel-1B,6,3
51,2017-02-06,Sentinel-1A,6,3
52,2017-02-12,Sentinel-1B,6,3
53,2017-02-24,Sentinel-1B,12,6
54,2017-03-08,Sentinel-1B,12,6
55,2017-03-20,Sentinel-1B,12,6
56,2017-04-01,Sentinel-1B,12,6
57,2017-04-13,Sentinel-1B,12,6
58,2017-04-25,Sentinel-1B,12,6
59,2017-05-07,Sentinel-1B,12,6
60,2017-05-19,Sentinel-1B,12,6
61,2017-05-31,Sentinel-1B,12,6
62,2017-06-12,Sentinel-1B,12,6
63,2017-06-24,Sentinel-1B,12,6
64,2017-07-06,Sentinel-1B,12,6
65,2017-07-18,Sentinel-1B,12,6
66,2017-07-30,Sentinel-1B,12,6
67,2017-08-11,Sentinel-1B,12,6
68,2017-08-23,Sentinel-1B,12,6
69,2017-09-04,Sentinel-1B,12,6
70,2017-09-16,Sentinel-1B,12,6
71,2017-09-28,Sentinel-1B,12,6
72,2017-10-10,Sentinel-1B,12,6
