,sceneDateString,platform,dt,nFrames
0,2014-10-31,Sentinel-1A,,1
1,2014-11-24,Sentinel-1A,24.0,1
2,2015-02-04,Sentinel-1A,72.0,1
3,2015-03-12,Sentinel-1A,36.0,1
4,2015-03-24,Sentinel-1A,12.0,2
5,2015-04-05,Sentinel-1A,12.0,1
6,2015-04-29,Sentinel-1A,24.0,1
7,2015-05-23,Sentinel-1A,24.0,1
8,2015-06-16,Sentinel-1A,24.0,1
9,2016-02-11,Sentinel-1A,240.0,1
10,2016-03-30,Sentinel-1A,48.0,1
11,2016-04-23,Sentinel-1A,24.0,1
12,2016-05-05,Sentinel-1A,12.0,1
13,2016-05-17,Sentinel-1A,12.0,1
14,2016-06-10,Sentinel-1A,24.0,1
15,2016-07-04,Sentinel-1A,24.0,1
16,2016-07-28,Sentinel-1A,24.0,2
17,2016-09-14,Sentinel-1A,48.0,1
18,2016-10-14,Sentinel-1B,30.0,1
19,2016-11-07,Sentinel-1B,24.0,1
20,2016-12-01,Sentinel-1B,24.0,1
21,2016-12-25,Sentinel-1B,24.0,1
22,2017-01-18,Sentinel-1B,24.0,1
23,2017-02-11,Sentinel-1B,24.0,1
24,2017-02-23,Sentinel-1B,12.0,2
25,2017-03-07,Sentinel-1B,12.0,2
26,2017-03-19,Sentinel-1B,12.0,2
27,2017-03-31,Sentinel-1B,12.0,1
28,2017-04-12,Sentinel-1B,12.0,2
29,2017-04-24,Sentinel-1B,12.0,2
30,2017-05-06,Sentinel-1B,12.0,2
31,2017-05-18,Sentinel-1B,12.0,2
32,2017-05-30,Sentinel-1B,12.0,2
33,2017-06-11,Sentinel-1B,12.0,2
34,2017-06-23,Sentinel-1B,12.0,2
35,2017-07-05,Sentinel-1B,12.0,2
36,2017-07-17,Sentinel-1B,12.0,2
37,2017-08-10,Sentinel-1B,24.0,2
38,2017-08-22,Sentinel-1B,12.0,2
39,2017-09-15,Sentinel-1B,24.0,2
40,2017-10-09,Sentinel-1B,24.0,2
