,sceneDateString,platform,dt,nFrames
0,2014-10-20,Sentinel-1A,0,1
1,2014-11-13,Sentinel-1A,24,6
2,2014-12-07,Sentinel-1A,24,6
3,2014-12-31,Sentinel-1A,24,7
4,2015-01-24,Sentinel-1A,24,6
5,2015-02-17,Sentinel-1A,24,6
6,2015-03-01,Sentinel-1A,12,6
7,2015-03-25,Sentinel-1A,24,6
8,2015-04-18,Sentinel-1A,24,6
9,2015-05-12,Sentinel-1A,24,6
10,2015-06-05,Sentinel-1A,24,6
11,2015-06-29,Sentinel-1A,24,6
12,2015-07-23,Sentinel-1A,24,6
13,2015-08-16,Sentinel-1A,24,6
14,2015-09-09,Sentinel-1A,24,6
15,2015-10-03,Sentinel-1A,24,5
16,2015-10-27,Sentinel-1A,24,6
17,2015-11-20,Sentinel-1A,24,6
18,2015-12-14,Sentinel-1A,24,6
19,2016-01-07,Sentinel-1A,24,6
20,2016-01-31,Sentinel-1A,24,6
21,2016-02-24,Sentinel-1A,24,6
22,2016-03-19,Sentinel-1A,24,6
23,2016-04-12,Sentinel-1A,24,6
24,2016-05-06,Sentinel-1A,24,6
25,2016-05-30,Sentinel-1A,24,6
26,2016-08-10,Sentinel-1A,72,6
27,2016-09-03,Sentinel-1A,24,6
28,2016-09-27,Sentinel-1A,24,4
29,2016-10-09,Sentinel-1A,12,3
30,2016-10-21,Sentinel-1A,12,4
31,2016-11-02,Sentinel-1A,12,3
32,2016-11-14,Sentinel-1A,12,4
33,2016-11-26,Sentinel-1A,12,3
34,2016-12-08,Sentinel-1A,12,4
35,2016-12-20,Sentinel-1A,12,3
36,2017-01-01,Sentinel-1A,12,4
37,2017-01-13,Sentinel-1A,12,3
38,2017-01-19,Sentinel-1B,6,1
39,2017-01-25,Sentinel-1A,6,4
40,2017-02-18,Sentinel-1A,24,4
41,2017-02-24,Sentinel-1B,6,3
42,2017-03-02,Sentinel-1A,6,4
43,2017-03-08,Sentinel-1B,6,3
44,2017-03-14,Sentinel-1A,6,4
45,2017-03-20,Sentinel-1B,6,3
46,2017-03-26,Sentinel-1A,6,4
47,2017-04-01,Sentinel-1B,6,3
48,2017-04-07,Sentinel-1A,6,4
49,2017-04-13,Sentinel-1B,6,3
50,2017-04-19,Sentinel-1A,6,4
51,2017-04-25,Sentinel-1B,6,3
52,2017-05-01,Sentinel-1A,6,4
53,2017-05-07,Sentinel-1B,6,3
54,2017-05-13,Sentinel-1A,6,4
55,2017-05-19,Sentinel-1B,6,3
56,2017-05-25,Sentinel-1A,6,2
57,2017-05-31,Sentinel-1B,6,3
58,2017-06-06,Sentinel-1A,6,2
59,2017-06-12,Sentinel-1B,6,3
60,2017-06-18,Sentinel-1A,6,2
61,2017-06-24,Sentinel-1B,6,3
62,2017-06-30,Sentinel-1A,6,2
63,2017-07-06,Sentinel-1B,6,3
64,2017-07-12,Sentinel-1A,6,2
65,2017-07-18,Sentinel-1B,6,3
66,2017-07-24,Sentinel-1A,6,2
67,2017-07-30,Sentinel-1B,6,3
68,2017-08-05,Sentinel-1A,6,2
69,2017-08-11,Sentinel-1B,6,3
70,2017-08-17,Sentinel-1A,6,2
71,2017-08-23,Sentinel-1B,6,3
72,2017-09-04,Sentinel-1B,12,3
73,2017-09-10,Sentinel-1A,6,2
74,2017-09-16,Sentinel-1B,6,3
75,2017-09-28,Sentinel-1B,12,3
76,2017-10-04,Sentinel-1A,6,2
77,2017-10-10,Sentinel-1B,6,3
