,sceneDateString,platform,dt,nFrames
0,2014-11-15,Sentinel-1A,0,5
1,2014-12-09,Sentinel-1A,24,5
2,2015-01-02,Sentinel-1A,24,5
3,2015-01-26,Sentinel-1A,24,5
4,2015-03-03,Sentinel-1A,36,5
5,2015-03-27,Sentinel-1A,24,5
6,2015-04-20,Sentinel-1A,24,5
7,2015-05-14,Sentinel-1A,24,5
8,2015-06-07,Sentinel-1A,24,5
9,2015-07-01,Sentinel-1A,24,5
10,2015-07-25,Sentinel-1A,24,5
11,2015-08-18,Sentinel-1A,24,5
12,2015-09-11,Sentinel-1A,24,3
13,2015-10-05,Sentinel-1A,24,5
14,2015-10-29,Sentinel-1A,24,3
15,2015-11-22,Sentinel-1A,24,6
16,2015-12-16,Sentinel-1A,24,4
17,2016-01-09,Sentinel-1A,24,4
18,2016-02-02,Sentinel-1A,24,4
19,2016-02-26,Sentinel-1A,24,4
20,2016-03-21,Sentinel-1A,24,4
21,2016-04-14,Sentinel-1A,24,4
22,2016-05-08,Sentinel-1A,24,4
23,2016-06-01,Sentinel-1A,24,5
24,2016-07-19,Sentinel-1A,48,5
25,2016-08-12,Sentinel-1A,24,4
26,2016-09-05,Sentinel-1A,24,5
27,2016-09-29,Sentinel-1A,24,4
28,2016-10-11,Sentinel-1A,12,1
29,2016-10-23,Sentinel-1A,12,4
30,2016-11-04,Sentinel-1A,12,1
31,2016-11-16,Sentinel-1A,12,4
32,2016-11-28,Sentinel-1A,12,1
33,2016-12-10,Sentinel-1A,12,4
34,2017-01-03,Sentinel-1A,24,4
35,2017-01-15,Sentinel-1A,12,1
36,2017-01-27,Sentinel-1A,12,4
37,2017-02-20,Sentinel-1A,24,4
38,2017-02-26,Sentinel-1B,6,1
39,2017-03-04,Sentinel-1A,6,4
40,2017-03-10,Sentinel-1B,6,1
41,2017-03-16,Sentinel-1A,6,4
42,2017-03-22,Sentinel-1B,6,1
43,2017-03-28,Sentinel-1A,6,4
44,2017-04-03,Sentinel-1B,6,1
45,2017-04-09,Sentinel-1A,6,4
46,2017-04-15,Sentinel-1B,6,1
47,2017-04-21,Sentinel-1A,6,4
48,2017-04-27,Sentinel-1B,6,1
49,2017-05-03,Sentinel-1A,6,4
50,2017-05-09,Sentinel-1B,6,1
51,2017-05-15,Sentinel-1A,6,4
52,2017-05-21,Sentinel-1B,6,1
53,2017-05-27,Sentinel-1A,6,2
54,2017-06-02,Sentinel-1B,6,1
55,2017-06-08,Sentinel-1A,6,2
56,2017-06-14,Sentinel-1B,6,1
57,2017-06-20,Sentinel-1A,6,2
58,2017-06-26,Sentinel-1B,6,1
59,2017-07-02,Sentinel-1A,6,2
60,2017-07-08,Sentinel-1B,6,1
61,2017-07-14,Sentinel-1A,6,2
62,2017-07-20,Sentinel-1B,6,1
63,2017-07-26,Sentinel-1A,6,2
64,2017-08-01,Sentinel-1B,6,1
65,2017-08-07,Sentinel-1A,6,2
66,2017-08-13,Sentinel-1B,6,1
67,2017-08-19,Sentinel-1A,6,2
68,2017-08-25,Sentinel-1B,6,1
69,2017-08-31,Sentinel-1A,6,2
70,2017-09-06,Sentinel-1B,6,1
71,2017-09-12,Sentinel-1A,6,2
72,2017-09-18,Sentinel-1B,6,1
73,2017-09-24,Sentinel-1A,6,2
74,2017-09-30,Sentinel-1B,6,1
75,2017-10-06,Sentinel-1A,6,2
76,2017-10-12,Sentinel-1B,6,2
