,sceneDateString,platform,dt,nFrames
0,2015-06-03,Sentinel-1A,0,6
1,2015-06-27,Sentinel-1A,24,6
2,2015-07-21,Sentinel-1A,24,6
3,2015-08-14,Sentinel-1A,24,6
4,2015-09-07,Sentinel-1A,24,6
5,2015-10-01,Sentinel-1A,24,4
6,2015-10-25,Sentinel-1A,24,6
7,2015-11-18,Sentinel-1A,24,6
8,2015-12-12,Sentinel-1A,24,6
9,2016-01-05,Sentinel-1A,24,6
10,2016-01-29,Sentinel-1A,24,6
11,2016-02-22,Sentinel-1A,24,6
12,2016-03-17,Sentinel-1A,24,6
13,2016-04-10,Sentinel-1A,24,6
14,2016-05-04,Sentinel-1A,24,6
15,2016-05-28,Sentinel-1A,24,6
16,2016-07-15,Sentinel-1A,48,6
17,2016-08-08,Sentinel-1A,24,6
18,2016-09-01,Sentinel-1A,24,6
19,2016-09-13,Sentinel-1A,12,4
20,2016-09-25,Sentinel-1A,12,3
21,2016-10-07,Sentinel-1A,12,5
22,2016-10-19,Sentinel-1A,12,3
23,2016-10-31,Sentinel-1A,12,5
24,2016-11-12,Sentinel-1A,12,3
25,2016-11-24,Sentinel-1A,12,5
26,2016-12-06,Sentinel-1A,12,3
27,2016-12-18,Sentinel-1A,12,5
28,2016-12-30,Sentinel-1A,12,3
29,2017-01-11,Sentinel-1A,12,5
30,2017-01-23,Sentinel-1A,12,3
31,2017-02-04,Sentinel-1A,12,5
32,2017-02-16,Sentinel-1A,12,3
33,2017-02-22,Sentinel-1B,6,3
34,2017-02-28,Sentinel-1A,6,3
35,2017-03-06,Sentinel-1B,6,3
36,2017-03-12,Sentinel-1A,6,3
37,2017-03-24,Sentinel-1A,12,3
38,2017-04-05,Sentinel-1A,12,3
39,2017-04-17,Sentinel-1A,12,3
40,2017-04-29,Sentinel-1A,12,3
41,2017-05-11,Sentinel-1A,12,3
42,2017-05-23,Sentinel-1A,12,3
43,2017-06-04,Sentinel-1A,12,3
44,2017-06-16,Sentinel-1A,12,3
45,2017-06-28,Sentinel-1A,12,3
46,2017-07-10,Sentinel-1A,12,3
47,2017-07-22,Sentinel-1A,12,3
48,2017-07-28,Sentinel-1B,6,3
49,2017-08-03,Sentinel-1A,6,3
50,2017-08-09,Sentinel-1B,6,3
51,2017-08-15,Sentinel-1A,6,3
52,2017-08-21,Sentinel-1B,6,3
53,2017-08-27,Sentinel-1A,6,3
54,2017-09-02,Sentinel-1B,6,3
55,2017-09-08,Sentinel-1A,6,3
56,2017-09-14,Sentinel-1B,6,3
57,2017-09-20,Sentinel-1A,6,3
58,2017-09-26,Sentinel-1B,6,3
59,2017-10-02,Sentinel-1A,6,3
60,2017-10-08,Sentinel-1B,6,3
61,2017-10-14,Sentinel-1A,6,3
