,sceneDateString,platform,dt,nFrames
0,2014-11-16,Sentinel-1A,,2
1,2015-01-03,Sentinel-1A,48.0,1
2,2015-03-28,Sentinel-1A,84.0,2
3,2015-04-21,Sentinel-1A,24.0,2
4,2015-05-15,Sentinel-1A,24.0,2
5,2015-05-27,Sentinel-1A,12.0,2
6,2015-06-08,Sentinel-1A,12.0,3
7,2015-06-20,Sentinel-1A,12.0,2
8,2015-07-02,Sentinel-1A,12.0,3
9,2015-07-14,Sentinel-1A,12.0,2
10,2015-07-26,Sentinel-1A,12.0,3
11,2015-08-07,Sentinel-1A,12.0,2
12,2015-08-19,Sentinel-1A,12.0,3
13,2015-08-31,Sentinel-1A,12.0,2
14,2015-09-12,Sentinel-1A,12.0,3
15,2015-09-24,Sentinel-1A,12.0,2
16,2015-10-06,Sentinel-1A,12.0,3
17,2015-10-18,Sentinel-1A,12.0,2
18,2015-11-11,Sentinel-1A,24.0,2
19,2015-11-23,Sentinel-1A,12.0,3
20,2015-12-05,Sentinel-1A,12.0,2
21,2015-12-17,Sentinel-1A,12.0,3
22,2015-12-29,Sentinel-1A,12.0,2
23,2016-01-10,Sentinel-1A,12.0,3
24,2016-01-22,Sentinel-1A,12.0,2
25,2016-02-03,Sentinel-1A,12.0,3
26,2016-02-15,Sentinel-1A,12.0,2
27,2016-02-27,Sentinel-1A,12.0,3
28,2016-03-10,Sentinel-1A,12.0,2
29,2016-03-22,Sentinel-1A,12.0,3
30,2016-04-03,Sentinel-1A,12.0,2
31,2016-04-15,Sentinel-1A,12.0,3
32,2016-04-27,Sentinel-1A,12.0,2
33,2016-05-09,Sentinel-1A,12.0,3
34,2016-05-21,Sentinel-1A,12.0,2
35,2016-06-02,Sentinel-1A,12.0,3
36,2016-06-14,Sentinel-1A,12.0,2
37,2016-07-08,Sentinel-1A,24.0,2
38,2016-07-20,Sentinel-1A,12.0,3
39,2016-08-01,Sentinel-1A,12.0,2
40,2016-08-13,Sentinel-1A,12.0,3
41,2016-08-25,Sentinel-1A,12.0,2
42,2016-09-06,Sentinel-1A,12.0,3
43,2016-09-18,Sentinel-1A,12.0,5
44,2016-10-12,Sentinel-1A,24.0,5
45,2016-11-05,Sentinel-1A,24.0,5
46,2016-11-29,Sentinel-1A,24.0,5
47,2016-12-23,Sentinel-1A,24.0,5
48,2017-01-16,Sentinel-1A,24.0,5
49,2017-02-09,Sentinel-1A,24.0,5
50,2017-02-27,Sentinel-1B,18.0,6
51,2017-03-11,Sentinel-1B,12.0,6
52,2017-03-23,Sentinel-1B,12.0,2
53,2017-04-04,Sentinel-1B,12.0,2
54,2017-04-16,Sentinel-1B,12.0,2
55,2017-04-28,Sentinel-1B,12.0,5
56,2017-05-10,Sentinel-1B,12.0,2
57,2017-05-22,Sentinel-1B,12.0,5
58,2017-06-03,Sentinel-1B,12.0,5
59,2017-06-15,Sentinel-1B,12.0,5
60,2017-06-27,Sentinel-1B,12.0,5
61,2017-07-09,Sentinel-1B,12.0,6
62,2017-07-21,Sentinel-1B,12.0,6
63,2017-08-14,Sentinel-1B,24.0,6
64,2017-08-26,Sentinel-1B,12.0,6
65,2017-09-07,Sentinel-1B,12.0,6
66,2017-09-19,Sentinel-1B,12.0,6
67,2017-10-01,Sentinel-1B,12.0,6
68,2017-10-13,Sentinel-1B,12.0,6
