,sceneDateString,platform,dt,nFrames
0,2014-10-29,Sentinel-1A,,6
1,2014-11-22,Sentinel-1A,24.0,6
2,2014-12-16,Sentinel-1A,24.0,6
3,2015-01-09,Sentinel-1A,24.0,6
4,2015-02-26,Sentinel-1A,48.0,6
5,2015-03-22,Sentinel-1A,24.0,6
6,2015-04-03,Sentinel-1A,12.0,7
7,2015-04-15,Sentinel-1A,12.0,6
8,2015-05-09,Sentinel-1A,24.0,6
9,2015-06-26,Sentinel-1A,48.0,6
10,2015-07-20,Sentinel-1A,24.0,6
11,2015-08-13,Sentinel-1A,24.0,1
12,2015-09-06,Sentinel-1A,24.0,3
13,2015-11-17,Sentinel-1A,72.0,1
14,2016-01-04,Sentinel-1A,48.0,6
15,2016-02-21,Sentinel-1A,48.0,6
16,2016-03-16,Sentinel-1A,24.0,6
17,2016-04-09,Sentinel-1A,24.0,6
18,2016-05-03,Sentinel-1A,24.0,6
19,2016-05-27,Sentinel-1A,24.0,6
20,2016-07-14,Sentinel-1A,48.0,6
21,2016-08-07,Sentinel-1A,24.0,6
22,2016-08-31,Sentinel-1A,24.0,6
23,2016-09-24,Sentinel-1A,24.0,6
24,2016-09-30,Sentinel-1B,6.0,1
25,2016-10-12,Sentinel-1B,12.0,1
26,2016-10-18,Sentinel-1A,6.0,2
27,2016-10-24,Sentinel-1B,6.0,3
28,2016-11-05,Sentinel-1B,12.0,1
29,2016-11-11,Sentinel-1A,6.0,2
30,2016-11-17,Sentinel-1B,6.0,3
31,2016-11-29,Sentinel-1B,12.0,1
32,2016-12-05,Sentinel-1A,6.0,2
33,2016-12-11,Sentinel-1B,6.0,3
34,2016-12-23,Sentinel-1B,12.0,1
35,2016-12-29,Sentinel-1A,6.0,2
36,2017-01-04,Sentinel-1B,6.0,5
37,2017-01-16,Sentinel-1B,12.0,1
38,2017-01-22,Sentinel-1A,6.0,2
39,2017-01-28,Sentinel-1B,6.0,5
40,2017-02-21,Sentinel-1B,24.0,5
41,2017-03-05,Sentinel-1B,12.0,6
42,2017-03-17,Sentinel-1B,12.0,5
43,2017-03-29,Sentinel-1B,12.0,1
44,2017-04-10,Sentinel-1B,12.0,1
45,2017-04-22,Sentinel-1B,12.0,3
46,2017-05-16,Sentinel-1B,24.0,6
47,2017-05-28,Sentinel-1B,12.0,6
48,2017-06-09,Sentinel-1B,12.0,6
49,2017-06-21,Sentinel-1B,12.0,6
50,2017-07-03,Sentinel-1B,12.0,6
51,2017-07-15,Sentinel-1B,12.0,6
52,2017-07-27,Sentinel-1B,12.0,6
53,2017-08-08,Sentinel-1B,12.0,6
54,2017-08-20,Sentinel-1B,12.0,6
55,2017-09-01,Sentinel-1B,12.0,6
56,2017-09-13,Sentinel-1B,12.0,6
57,2017-09-25,Sentinel-1B,12.0,6
58,2017-10-07,Sentinel-1B,12.0,6
