,sceneDateString,platform,dt,nFrames
0,2014-11-06,Sentinel-1A,0,3
1,2014-11-30,Sentinel-1A,24,3
2,2014-12-24,Sentinel-1A,24,3
3,2015-01-17,Sentinel-1A,24,3
4,2015-01-29,Sentinel-1A,12,3
5,2015-02-10,Sentinel-1A,12,3
6,2015-02-22,Sentinel-1A,12,6
7,2015-03-06,Sentinel-1A,12,6
8,2015-03-18,Sentinel-1A,12,6
9,2015-03-30,Sentinel-1A,12,6
10,2015-04-11,Sentinel-1A,12,6
11,2015-04-23,Sentinel-1A,12,6
12,2015-06-10,Sentinel-1A,48,6
13,2015-07-04,Sentinel-1A,24,6
14,2015-07-28,Sentinel-1A,24,6
15,2015-08-21,Sentinel-1A,24,6
16,2015-09-14,Sentinel-1A,24,6
17,2015-10-08,Sentinel-1A,24,6
18,2015-11-01,Sentinel-1A,24,6
19,2015-11-25,Sentinel-1A,24,6
20,2015-12-19,Sentinel-1A,24,6
21,2016-01-12,Sentinel-1A,24,6
22,2016-02-05,Sentinel-1A,24,6
23,2016-02-29,Sentinel-1A,24,6
24,2016-04-17,Sentinel-1A,48,6
25,2016-05-11,Sentinel-1A,24,6
26,2016-06-04,Sentinel-1A,24,6
27,2016-06-28,Sentinel-1A,24,6
28,2016-07-22,Sentinel-1A,24,6
29,2016-08-15,Sentinel-1A,24,6
30,2016-09-08,Sentinel-1A,24,6
31,2016-10-02,Sentinel-1A,24,4
32,2016-10-14,Sentinel-1A,12,3
33,2016-10-26,Sentinel-1A,12,4
34,2016-11-07,Sentinel-1A,12,3
35,2016-11-19,Sentinel-1A,12,4
36,2016-12-01,Sentinel-1A,12,3
37,2016-12-13,Sentinel-1A,12,4
38,2016-12-19,Sentinel-1B,6,1
39,2016-12-25,Sentinel-1A,6,3
40,2017-01-06,Sentinel-1A,12,4
41,2017-01-24,Sentinel-1B,18,1
42,2017-01-30,Sentinel-1A,6,4
43,2017-02-11,Sentinel-1A,12,6
44,2017-02-23,Sentinel-1A,12,4
45,2017-03-01,Sentinel-1B,6,3
46,2017-03-07,Sentinel-1A,6,4
47,2017-03-13,Sentinel-1B,6,3
48,2017-03-19,Sentinel-1A,6,4
49,2017-03-25,Sentinel-1B,6,3
50,2017-03-31,Sentinel-1A,6,4
51,2017-04-06,Sentinel-1B,6,3
52,2017-04-12,Sentinel-1A,6,4
53,2017-04-18,Sentinel-1B,6,3
54,2017-04-24,Sentinel-1A,6,4
55,2017-04-30,Sentinel-1B,6,3
56,2017-05-06,Sentinel-1A,6,4
57,2017-05-12,Sentinel-1B,6,3
58,2017-05-18,Sentinel-1A,6,4
59,2017-05-30,Sentinel-1A,12,3
60,2017-06-11,Sentinel-1A,12,3
61,2017-06-23,Sentinel-1A,12,3
62,2017-07-05,Sentinel-1A,12,3
63,2017-07-11,Sentinel-1B,6,3
64,2017-07-17,Sentinel-1A,6,3
65,2017-07-23,Sentinel-1B,6,3
66,2017-07-29,Sentinel-1A,6,3
67,2017-08-04,Sentinel-1B,6,3
68,2017-08-10,Sentinel-1A,6,3
69,2017-08-16,Sentinel-1B,6,3
70,2017-08-22,Sentinel-1A,6,3
71,2017-08-28,Sentinel-1B,6,3
72,2017-09-03,Sentinel-1A,6,3
73,2017-09-09,Sentinel-1B,6,3
74,2017-09-15,Sentinel-1A,6,3
75,2017-09-21,Sentinel-1B,6,3
76,2017-09-27,Sentinel-1A,6,3
77,2017-10-03,Sentinel-1B,6,3
78,2017-10-09,Sentinel-1A,6,3
