,sceneDateString,platform,dt
0,2014-11-03,Sentinel-1A,
1,2014-11-27,Sentinel-1A,24 days 00:00:00.000000000
2,2014-12-21,Sentinel-1A,24 days 00:00:00.000000000
3,2015-01-14,Sentinel-1A,24 days 00:00:00.000000000
4,2015-02-07,Sentinel-1A,24 days 00:00:00.000000000
5,2015-03-15,Sentinel-1A,36 days 00:00:00.000000000
6,2015-03-27,Sentinel-1A,12 days 00:00:00.000000000
7,2015-04-08,Sentinel-1A,12 days 00:00:00.000000000
8,2015-05-02,Sentinel-1A,24 days 00:00:00.000000000
9,2015-05-26,Sentinel-1A,24 days 00:00:00.000000000
10,2015-06-19,Sentinel-1A,24 days 00:00:00.000000000
11,2015-07-13,Sentinel-1A,24 days 00:00:00.000000000
12,2015-08-06,Sentinel-1A,24 days 00:00:00.000000000
13,2015-08-30,Sentinel-1A,24 days 00:00:00.000000000
14,2015-10-17,Sentinel-1A,48 days 00:00:00.000000000
15,2016-02-14,Sentinel-1A,120 days 00:00:00.000000000
16,2016-03-09,Sentinel-1A,24 days 00:00:00.000000000
17,2016-04-26,Sentinel-1A,48 days 00:00:00.000000000
18,2016-05-20,Sentinel-1A,24 days 00:00:00.000000000
19,2016-06-13,Sentinel-1A,24 days 00:00:00.000000000
20,2016-07-07,Sentinel-1A,24 days 00:00:00.000000000
21,2016-07-31,Sentinel-1A,24 days 00:00:00.000000000
22,2016-08-24,Sentinel-1A,24 days 00:00:00.000000000
23,2016-09-17,Sentinel-1A,24 days 00:00:00.000000000
24,2016-10-11,Sentinel-1A,24 days 00:00:00.000000000
30,2016-10-17,Sentinel-1B,6 days 00:00:00.000000000
25,2016-11-04,Sentinel-1A,18 days 00:00:00.000000000
31,2016-11-10,Sentinel-1B,6 days 00:00:00.000000000
26,2016-11-28,Sentinel-1A,18 days 00:00:00.000000000
32,2016-12-04,Sentinel-1B,6 days 00:00:00.000000000
33,2016-12-16,Sentinel-1B,12 days 00:00:00.000000000
27,2016-12-22,Sentinel-1A,6 days 00:00:00.000000000
34,2016-12-28,Sentinel-1B,6 days 00:00:00.000000000
35,2017-01-09,Sentinel-1B,12 days 00:00:00.000000000
28,2017-01-15,Sentinel-1A,6 days 00:00:00.000000000
36,2017-01-21,Sentinel-1B,6 days 00:00:00.000000000
37,2017-02-02,Sentinel-1B,12 days 00:00:00.000000000
29,2017-02-08,Sentinel-1A,6 days 00:00:00.000000000
38,2017-02-14,Sentinel-1B,6 days 00:00:00.000000000
39,2017-02-26,Sentinel-1B,12 days 00:00:00.000000000
40,2017-04-03,Sentinel-1B,36 days 00:00:00.000000000
41,2017-04-15,Sentinel-1B,12 days 00:00:00.000000000
42,2017-04-27,Sentinel-1B,12 days 00:00:00.000000000
43,2017-05-09,Sentinel-1B,12 days 00:00:00.000000000
44,2017-05-21,Sentinel-1B,12 days 00:00:00.000000000
45,2017-06-02,Sentinel-1B,12 days 00:00:00.000000000
46,2017-06-14,Sentinel-1B,12 days 00:00:00.000000000
47,2017-06-26,Sentinel-1B,12 days 00:00:00.000000000
48,2017-07-08,Sentinel-1B,12 days 00:00:00.000000000
49,2017-07-20,Sentinel-1B,12 days 00:00:00.000000000
50,2017-08-01,Sentinel-1B,12 days 00:00:00.000000000
51,2017-08-25,Sentinel-1B,24 days 00:00:00.000000000
52,2017-09-06,Sentinel-1B,12 days 00:00:00.000000000
53,2017-09-18,Sentinel-1B,12 days 00:00:00.000000000
54,2017-09-30,Sentinel-1B,12 days 00:00:00.000000000
