,sceneDateString,platform,dt
0,2014-10-29,Sentinel-1A,
1,2014-11-22,Sentinel-1A,24 days 00:00:00.000000000
2,2014-12-16,Sentinel-1A,24 days 00:00:00.000000000
3,2015-01-09,Sentinel-1A,24 days 00:00:00.000000000
4,2015-02-26,Sentinel-1A,48 days 00:00:00.000000000
5,2015-03-22,Sentinel-1A,24 days 00:00:00.000000000
6,2015-04-03,Sentinel-1A,12 days 00:00:00.000000000
7,2015-04-15,Sentinel-1A,12 days 00:00:00.000000000
8,2015-05-09,Sentinel-1A,24 days 00:00:00.000000000
9,2015-06-26,Sentinel-1A,48 days 00:00:00.000000000
10,2015-07-20,Sentinel-1A,24 days 00:00:00.000000000
11,2016-01-04,Sentinel-1A,168 days 00:00:00.000000000
12,2016-02-21,Sentinel-1A,48 days 00:00:00.000000000
13,2016-03-16,Sentinel-1A,24 days 00:00:00.000000000
14,2016-04-09,Sentinel-1A,24 days 00:00:00.000000000
15,2016-05-03,Sentinel-1A,24 days 00:00:00.000000000
16,2016-05-27,Sentinel-1A,24 days 00:00:00.000000000
17,2016-07-14,Sentinel-1A,48 days 00:00:00.000000000
18,2016-08-07,Sentinel-1A,24 days 00:00:00.000000000
19,2016-08-31,Sentinel-1A,24 days 00:00:00.000000000
20,2016-09-24,Sentinel-1A,24 days 00:00:00.000000000
21,2016-10-18,Sentinel-1A,24 days 00:00:00.000000000
26,2016-10-24,Sentinel-1B,6 days 00:00:00.000000000
22,2016-11-11,Sentinel-1A,18 days 00:00:00.000000000
27,2016-11-17,Sentinel-1B,6 days 00:00:00.000000000
23,2016-12-05,Sentinel-1A,18 days 00:00:00.000000000
28,2016-12-11,Sentinel-1B,6 days 00:00:00.000000000
24,2016-12-29,Sentinel-1A,18 days 00:00:00.000000000
29,2017-01-04,Sentinel-1B,6 days 00:00:00.000000000
25,2017-01-22,Sentinel-1A,18 days 00:00:00.000000000
30,2017-01-28,Sentinel-1B,6 days 00:00:00.000000000
31,2017-02-21,Sentinel-1B,24 days 00:00:00.000000000
32,2017-03-05,Sentinel-1B,12 days 00:00:00.000000000
33,2017-03-17,Sentinel-1B,12 days 00:00:00.000000000
34,2017-04-22,Sentinel-1B,36 days 00:00:00.000000000
35,2017-05-16,Sentinel-1B,24 days 00:00:00.000000000
36,2017-05-28,Sentinel-1B,12 days 00:00:00.000000000
37,2017-06-09,Sentinel-1B,12 days 00:00:00.000000000
38,2017-06-21,Sentinel-1B,12 days 00:00:00.000000000
39,2017-07-03,Sentinel-1B,12 days 00:00:00.000000000
40,2017-07-15,Sentinel-1B,12 days 00:00:00.000000000
41,2017-07-27,Sentinel-1B,12 days 00:00:00.000000000
42,2017-08-08,Sentinel-1B,12 days 00:00:00.000000000
43,2017-08-20,Sentinel-1B,12 days 00:00:00.000000000
44,2017-09-01,Sentinel-1B,12 days 00:00:00.000000000
45,2017-09-13,Sentinel-1B,12 days 00:00:00.000000000
46,2017-09-25,Sentinel-1B,12 days 00:00:00.000000000
47,2017-10-07,Sentinel-1B,12 days 00:00:00.000000000
