,sceneDateString,platform,dt
0,2014-11-05,Sentinel-1A,
1,2014-11-29,Sentinel-1A,24 days 00:00:00.000000000
2,2014-12-23,Sentinel-1A,24 days 00:00:00.000000000
3,2015-01-16,Sentinel-1A,24 days 00:00:00.000000000
4,2015-02-09,Sentinel-1A,24 days 00:00:00.000000000
5,2015-03-17,Sentinel-1A,36 days 00:00:00.000000000
6,2015-03-29,Sentinel-1A,12 days 00:00:00.000000000
7,2015-04-10,Sentinel-1A,12 days 00:00:00.000000000
8,2015-05-04,Sentinel-1A,24 days 00:00:00.000000000
9,2015-05-28,Sentinel-1A,24 days 00:00:00.000000000
10,2015-08-08,Sentinel-1A,72 days 00:00:00.000000000
11,2015-09-01,Sentinel-1A,24 days 00:00:00.000000000
12,2015-09-25,Sentinel-1A,24 days 00:00:00.000000000
13,2015-11-12,Sentinel-1A,48 days 00:00:00.000000000
14,2016-04-28,Sentinel-1A,168 days 00:00:00.000000000
15,2016-05-10,Sentinel-1A,12 days 00:00:00.000000000
16,2016-05-22,Sentinel-1A,12 days 00:00:00.000000000
17,2016-06-15,Sentinel-1A,24 days 00:00:00.000000000
18,2016-07-09,Sentinel-1A,24 days 00:00:00.000000000
19,2016-08-02,Sentinel-1A,24 days 00:00:00.000000000
20,2016-09-19,Sentinel-1A,48 days 00:00:00.000000000
21,2016-10-13,Sentinel-1A,24 days 00:00:00.000000000
26,2016-10-19,Sentinel-1B,6 days 00:00:00.000000000
22,2016-11-06,Sentinel-1A,18 days 00:00:00.000000000
27,2016-11-12,Sentinel-1B,6 days 00:00:00.000000000
23,2016-11-30,Sentinel-1A,18 days 00:00:00.000000000
28,2016-12-06,Sentinel-1B,6 days 00:00:00.000000000
24,2016-12-24,Sentinel-1A,18 days 00:00:00.000000000
29,2016-12-30,Sentinel-1B,6 days 00:00:00.000000000
25,2017-01-17,Sentinel-1A,18 days 00:00:00.000000000
30,2017-01-23,Sentinel-1B,6 days 00:00:00.000000000
31,2017-02-16,Sentinel-1B,24 days 00:00:00.000000000
32,2017-05-11,Sentinel-1B,84 days 00:00:00.000000000
