,sceneDateString,platform,dt
0,2014-11-16,Sentinel-1A,
1,2015-01-03,Sentinel-1A,48 days 00:00:00.000000000
2,2015-03-28,Sentinel-1A,84 days 00:00:00.000000000
3,2015-04-21,Sentinel-1A,24 days 00:00:00.000000000
4,2015-05-15,Sentinel-1A,24 days 00:00:00.000000000
5,2015-05-27,Sentinel-1A,12 days 00:00:00.000000000
6,2015-06-08,Sentinel-1A,12 days 00:00:00.000000000
7,2015-06-20,Sentinel-1A,12 days 00:00:00.000000000
8,2015-07-02,Sentinel-1A,12 days 00:00:00.000000000
9,2015-07-14,Sentinel-1A,12 days 00:00:00.000000000
10,2015-07-26,Sentinel-1A,12 days 00:00:00.000000000
11,2015-08-07,Sentinel-1A,12 days 00:00:00.000000000
12,2015-08-19,Sentinel-1A,12 days 00:00:00.000000000
13,2015-08-31,Sentinel-1A,12 days 00:00:00.000000000
14,2015-09-12,Sentinel-1A,12 days 00:00:00.000000000
15,2015-09-24,Sentinel-1A,12 days 00:00:00.000000000
16,2015-10-06,Sentinel-1A,12 days 00:00:00.000000000
17,2015-10-18,Sentinel-1A,12 days 00:00:00.000000000
18,2015-11-11,Sentinel-1A,24 days 00:00:00.000000000
19,2015-11-23,Sentinel-1A,12 days 00:00:00.000000000
20,2015-12-05,Sentinel-1A,12 days 00:00:00.000000000
21,2015-12-17,Sentinel-1A,12 days 00:00:00.000000000
22,2015-12-29,Sentinel-1A,12 days 00:00:00.000000000
23,2016-01-10,Sentinel-1A,12 days 00:00:00.000000000
24,2016-01-22,Sentinel-1A,12 days 00:00:00.000000000
25,2016-02-03,Sentinel-1A,12 days 00:00:00.000000000
26,2016-02-15,Sentinel-1A,12 days 00:00:00.000000000
27,2016-02-27,Sentinel-1A,12 days 00:00:00.000000000
28,2016-03-10,Sentinel-1A,12 days 00:00:00.000000000
29,2016-03-22,Sentinel-1A,12 days 00:00:00.000000000
30,2016-04-03,Sentinel-1A,12 days 00:00:00.000000000
31,2016-04-15,Sentinel-1A,12 days 00:00:00.000000000
32,2016-04-27,Sentinel-1A,12 days 00:00:00.000000000
33,2016-05-09,Sentinel-1A,12 days 00:00:00.000000000
34,2016-05-21,Sentinel-1A,12 days 00:00:00.000000000
35,2016-06-02,Sentinel-1A,12 days 00:00:00.000000000
36,2016-06-14,Sentinel-1A,12 days 00:00:00.000000000
37,2016-07-08,Sentinel-1A,24 days 00:00:00.000000000
38,2016-07-20,Sentinel-1A,12 days 00:00:00.000000000
39,2016-08-01,Sentinel-1A,12 days 00:00:00.000000000
40,2016-08-13,Sentinel-1A,12 days 00:00:00.000000000
41,2016-08-25,Sentinel-1A,12 days 00:00:00.000000000
42,2016-09-06,Sentinel-1A,12 days 00:00:00.000000000
43,2016-09-18,Sentinel-1A,12 days 00:00:00.000000000
44,2016-10-12,Sentinel-1A,24 days 00:00:00.000000000
45,2016-11-05,Sentinel-1A,24 days 00:00:00.000000000
46,2016-11-29,Sentinel-1A,24 days 00:00:00.000000000
47,2016-12-23,Sentinel-1A,24 days 00:00:00.000000000
48,2017-01-16,Sentinel-1A,24 days 00:00:00.000000000
49,2017-02-09,Sentinel-1A,24 days 00:00:00.000000000
50,2017-02-27,Sentinel-1B,18 days 00:00:00.000000000
51,2017-03-11,Sentinel-1B,12 days 00:00:00.000000000
52,2017-03-23,Sentinel-1B,12 days 00:00:00.000000000
53,2017-04-04,Sentinel-1B,12 days 00:00:00.000000000
54,2017-04-16,Sentinel-1B,12 days 00:00:00.000000000
55,2017-04-28,Sentinel-1B,12 days 00:00:00.000000000
56,2017-05-10,Sentinel-1B,12 days 00:00:00.000000000
57,2017-05-22,Sentinel-1B,12 days 00:00:00.000000000
58,2017-06-03,Sentinel-1B,12 days 00:00:00.000000000
59,2017-06-15,Sentinel-1B,12 days 00:00:00.000000000
60,2017-06-27,Sentinel-1B,12 days 00:00:00.000000000
61,2017-07-09,Sentinel-1B,12 days 00:00:00.000000000
62,2017-07-21,Sentinel-1B,12 days 00:00:00.000000000
63,2017-08-14,Sentinel-1B,24 days 00:00:00.000000000
64,2017-08-26,Sentinel-1B,12 days 00:00:00.000000000
65,2017-09-07,Sentinel-1B,12 days 00:00:00.000000000
66,2017-09-19,Sentinel-1B,12 days 00:00:00.000000000
67,2017-10-01,Sentinel-1B,12 days 00:00:00.000000000
