,sceneDateString,platform,dt
0,2015-06-03,Sentinel-1A,
1,2015-06-27,Sentinel-1A,24 days 00:00:00.000000000
2,2015-07-21,Sentinel-1A,24 days 00:00:00.000000000
3,2015-08-14,Sentinel-1A,24 days 00:00:00.000000000
4,2015-09-07,Sentinel-1A,24 days 00:00:00.000000000
5,2015-10-01,Sentinel-1A,24 days 00:00:00.000000000
6,2015-10-25,Sentinel-1A,24 days 00:00:00.000000000
7,2015-11-18,Sentinel-1A,24 days 00:00:00.000000000
8,2015-12-12,Sentinel-1A,24 days 00:00:00.000000000
9,2016-01-05,Sentinel-1A,24 days 00:00:00.000000000
10,2016-01-29,Sentinel-1A,24 days 00:00:00.000000000
11,2016-02-22,Sentinel-1A,24 days 00:00:00.000000000
12,2016-03-17,Sentinel-1A,24 days 00:00:00.000000000
13,2016-04-10,Sentinel-1A,24 days 00:00:00.000000000
14,2016-05-04,Sentinel-1A,24 days 00:00:00.000000000
15,2016-05-28,Sentinel-1A,24 days 00:00:00.000000000
16,2016-07-15,Sentinel-1A,48 days 00:00:00.000000000
17,2016-08-08,Sentinel-1A,24 days 00:00:00.000000000
18,2016-09-01,Sentinel-1A,24 days 00:00:00.000000000
19,2016-09-13,Sentinel-1A,12 days 00:00:00.000000000
20,2016-09-25,Sentinel-1A,12 days 00:00:00.000000000
21,2016-10-07,Sentinel-1A,12 days 00:00:00.000000000
22,2016-10-19,Sentinel-1A,12 days 00:00:00.000000000
23,2016-10-31,Sentinel-1A,12 days 00:00:00.000000000
24,2016-11-12,Sentinel-1A,12 days 00:00:00.000000000
25,2016-11-24,Sentinel-1A,12 days 00:00:00.000000000
26,2016-12-06,Sentinel-1A,12 days 00:00:00.000000000
27,2016-12-18,Sentinel-1A,12 days 00:00:00.000000000
28,2016-12-30,Sentinel-1A,12 days 00:00:00.000000000
29,2017-01-11,Sentinel-1A,12 days 00:00:00.000000000
30,2017-01-23,Sentinel-1A,12 days 00:00:00.000000000
31,2017-02-04,Sentinel-1A,12 days 00:00:00.000000000
32,2017-02-16,Sentinel-1A,12 days 00:00:00.000000000
52,2017-02-22,Sentinel-1B,6 days 00:00:00.000000000
33,2017-02-28,Sentinel-1A,6 days 00:00:00.000000000
53,2017-03-06,Sentinel-1B,6 days 00:00:00.000000000
34,2017-03-12,Sentinel-1A,6 days 00:00:00.000000000
35,2017-03-24,Sentinel-1A,12 days 00:00:00.000000000
36,2017-04-05,Sentinel-1A,12 days 00:00:00.000000000
37,2017-04-17,Sentinel-1A,12 days 00:00:00.000000000
38,2017-04-29,Sentinel-1A,12 days 00:00:00.000000000
39,2017-05-11,Sentinel-1A,12 days 00:00:00.000000000
40,2017-05-23,Sentinel-1A,12 days 00:00:00.000000000
41,2017-06-04,Sentinel-1A,12 days 00:00:00.000000000
42,2017-06-16,Sentinel-1A,12 days 00:00:00.000000000
43,2017-06-28,Sentinel-1A,12 days 00:00:00.000000000
44,2017-07-10,Sentinel-1A,12 days 00:00:00.000000000
45,2017-07-22,Sentinel-1A,12 days 00:00:00.000000000
54,2017-07-28,Sentinel-1B,6 days 00:00:00.000000000
46,2017-08-03,Sentinel-1A,6 days 00:00:00.000000000
55,2017-08-09,Sentinel-1B,6 days 00:00:00.000000000
47,2017-08-15,Sentinel-1A,6 days 00:00:00.000000000
56,2017-08-21,Sentinel-1B,6 days 00:00:00.000000000
48,2017-08-27,Sentinel-1A,6 days 00:00:00.000000000
57,2017-09-02,Sentinel-1B,6 days 00:00:00.000000000
49,2017-09-08,Sentinel-1A,6 days 00:00:00.000000000
58,2017-09-14,Sentinel-1B,6 days 00:00:00.000000000
50,2017-09-20,Sentinel-1A,6 days 00:00:00.000000000
59,2017-09-26,Sentinel-1B,6 days 00:00:00.000000000
51,2017-10-02,Sentinel-1A,6 days 00:00:00.000000000
60,2017-10-08,Sentinel-1B,6 days 00:00:00.000000000
