,sceneDateString,platform,granuleName,dt
0,2014-10-29,Sentinel-1A,S1A_IW_SLC__1SSV_20141029T014340_20141029T014407_003038_003784_D517,
1,2014-11-22,Sentinel-1A,S1A_IW_SLC__1SSV_20141122T014334_20141122T014401_003388_003F1A_2810,24.0
2,2014-12-16,Sentinel-1A,S1A_IW_SLC__1SSV_20141216T014339_20141216T014406_003738_00473C_389F,24.0
3,2015-01-09,Sentinel-1A,S1A_IW_SLC__1SSV_20150109T014333_20150109T014400_004088_004F1E_7E7E,24.0
4,2015-02-26,Sentinel-1A,S1A_IW_SLC__1SSV_20150226T014331_20150226T014358_004788_005F2D_E713,48.0
5,2015-03-22,Sentinel-1A,S1A_IW_SLC__1SSV_20150322T014332_20150322T014359_005138_00679B_9897,24.0
6,2015-04-03,Sentinel-1A,S1A_IW_SLC__1SDV_20150403T014339_20150403T014406_005313_006BA2_DD0B,12.0
7,2015-04-15,Sentinel-1A,S1A_IW_SLC__1SSV_20150415T014333_20150415T014400_005488_00701B_D407,12.0
8,2015-05-09,Sentinel-1A,S1A_IW_SLC__1SSV_20150509T014340_20150509T014407_005838_007837_169A,24.0
9,2015-06-26,Sentinel-1A,S1A_IW_SLC__1SSV_20150626T014343_20150626T014410_006538_008B17_51F9,48.0
10,2015-07-20,Sentinel-1A,S1A_IW_SLC__1SSV_20150720T014343_20150720T014410_006888_0094D4_DBDC,24.0
11,2015-08-13,Sentinel-1A,S1A_IW_SLC__1SSV_20150813T014345_20150813T014400_007238_009E7F_B74B,24.0
12,2015-09-06,Sentinel-1A,S1A_IW_SLC__1SSV_20150906T014346_20150906T014413_007588_00A80E_B881,24.0
13,2015-11-17,Sentinel-1A,S1A_IW_SLC__1SSV_20151117T014341_20151117T014412_008638_00C45A_38E3,72.0
14,2016-01-04,Sentinel-1A,S1A_IW_SLC__1SSV_20160104T014339_20160104T014407_009338_00D7FE_7ACE,48.0
15,2016-02-21,Sentinel-1A,S1A_IW_SLC__1SSV_20160221T014338_20160221T014406_010038_00EC61_719B,48.0
16,2016-03-16,Sentinel-1A,S1A_IW_SLC__1SDV_20160316T014338_20160316T014406_010388_00F643_8E32,24.0
17,2016-04-09,Sentinel-1A,S1A_IW_SLC__1SSV_20160409T014339_20160409T014407_010738_01006D_A222,24.0
18,2016-05-03,Sentinel-1A,S1A_IW_SLC__1SSV_20160503T014340_20160503T014408_011088_010B41_AAD9,24.0
19,2016-05-27,Sentinel-1A,S1A_IW_SLC__1SSV_20160527T014344_20160527T014412_011438_011694_C5E3,24.0
20,2016-07-14,Sentinel-1A,S1A_IW_SLC__1SSV_20160714T014347_20160714T014415_012138_012CE7_76EC,48.0
21,2016-08-07,Sentinel-1A,S1A_IW_SLC__1SSV_20160807T014348_20160807T014416_012488_013870_AC86,24.0
22,2016-08-31,Sentinel-1A,S1A_IW_SLC__1SDV_20160831T014352_20160831T014419_012838_01441E_09D8,24.0
23,2016-09-24,Sentinel-1A,S1A_IW_SLC__1SSV_20160924T014349_20160924T014417_013188_014F93_6EC4,24.0
24,2016-09-30,Sentinel-1B,S1B_IW_SLC__1SSV_20160930T014316_20160930T014343_002292_003DF6_F674,6.0
25,2016-10-12,Sentinel-1B,S1B_IW_SLC__1SSV_20161012T014317_20161012T014343_002467_004297_90F5,12.0
26,2016-10-18,Sentinel-1A,S1A_IW_SLC__1SSV_20161018T014417_20161018T014447_013538_015AA7_E5A8,6.0
27,2016-10-24,Sentinel-1B,S1B_IW_SLC__1SSV_20161024T014422_20161024T014452_002642_004774_4A02,6.0
28,2016-11-05,Sentinel-1B,S1B_IW_SLC__1SDV_20161105T014316_20161105T014343_002817_004C53_5103,12.0
29,2016-11-11,Sentinel-1A,S1A_IW_SLC__1SSV_20161111T014417_20161111T014446_013888_016594_790E,6.0
30,2016-11-17,Sentinel-1B,S1B_IW_SLC__1SSV_20161117T014421_20161117T014451_002992_00515D_A105,6.0
31,2016-11-29,Sentinel-1B,S1B_IW_SLC__1SDV_20161129T014316_20161129T014342_003167_005636_284C,12.0
32,2016-12-05,Sentinel-1A,S1A_IW_SLC__1SSV_20161205T014416_20161205T014446_014238_01705A_61F8,6.0
33,2016-12-11,Sentinel-1B,S1B_IW_SLC__1SDV_20161211T014421_20161211T014451_003342_005B4E_1D61,6.0
34,2016-12-23,Sentinel-1B,S1B_IW_SLC__1SDV_20161223T014315_20161223T014341_003517_006032_001F,12.0
35,2016-12-29,Sentinel-1A,S1A_IW_SLC__1SSV_20161229T014415_20161229T014445_014588_017B56_A665,6.0
36,2017-01-04,Sentinel-1B,S1B_IW_SLC__1SDV_20170104T014332_20170104T014402_003692_006572_2419,6.0
37,2017-01-16,Sentinel-1B,S1B_IW_SLC__1SDV_20170116T014313_20170116T014339_003867_006A7D_53F8,12.0
