,sceneDateString,platform,granuleName,dt
0,2014-10-10,Sentinel-1A,S1A_IW_SLC__1SSV_20141010T015138_20141010T015206_002761_0031A4_9C91,
1,2014-11-03,Sentinel-1A,S1A_IW_SLC__1SSV_20141103T015142_20141103T015209_003111_00391A_6B72,24.0
2,2014-11-27,Sentinel-1A,S1A_IW_SLC__1SSV_20141127T015200_20141127T015227_003461_0040D8_E6EA,24.0
3,2014-12-21,Sentinel-1A,S1A_IW_SLC__1SSV_20141221T015149_20141221T015216_003811_0048E0_D999,24.0
4,2015-01-14,Sentinel-1A,S1A_IW_SLC__1SSV_20150114T015148_20150114T015215_004161_0050BB_B4CC,24.0
5,2015-02-07,Sentinel-1A,S1A_IW_SLC__1SSV_20150207T015136_20150207T015203_004511_005899_D0B2,24.0
6,2015-03-15,Sentinel-1A,S1A_IW_SLC__1SSV_20150315T015137_20150315T015203_005036_00651A_F1B7,36.0
7,2015-03-27,Sentinel-1A,S1A_IW_SLC__1SDV_20150327T015159_20150327T015226_005211_00694B_E8FD,12.0
8,2015-04-08,Sentinel-1A,S1A_IW_SLC__1SSV_20150408T015159_20150408T015226_005386_006D7E_4946,12.0
9,2015-05-02,Sentinel-1A,S1A_IW_SLC__1SSV_20150502T015201_20150502T015227_005736_0075D4_46A4,24.0
10,2015-05-26,Sentinel-1A,S1A_IW_SLC__1SSV_20150526T015140_20150526T015207_006086_007E23_7DF8,24.0
11,2015-06-19,Sentinel-1A,S1A_IW_SLC__1SSV_20150619T015141_20150619T015208_006436_00882E_5E44,24.0
12,2015-07-13,Sentinel-1A,S1A_IW_SLC__1SSV_20150713T015142_20150713T015209_006786_0091EC_0FCC,24.0
13,2015-08-06,Sentinel-1A,S1A_IW_SLC__1SSV_20150806T015143_20150806T015210_007136_009BC1_4DFC,24.0
14,2015-08-30,Sentinel-1A,S1A_IW_SLC__1SSV_20150830T015144_20150830T015211_007486_00A54A_8E91,24.0
15,2015-10-17,Sentinel-1A,S1A_IW_SLC__1SSV_20151017T015145_20151017T015212_008186_00B818_5B3C,48.0
16,2016-02-14,Sentinel-1A,S1A_IW_SLC__1SSV_20160214T015203_20160214T015230_009936_00E95D_DA3B,120.0
17,2016-03-09,Sentinel-1A,S1A_IW_SLC__1SDV_20160309T015159_20160309T015227_010286_00F36F_EBD1,24.0
18,2016-04-26,Sentinel-1A,S1A_IW_SLC__1SSV_20160426T015204_20160426T015231_010986_010809_8DBD,48.0
19,2016-05-20,Sentinel-1A,S1A_IW_SLC__1SSV_20160520T015205_20160520T015232_011336_01133B_121D,24.0
20,2016-06-13,Sentinel-1A,S1A_IW_SLC__1SSV_20160613T015207_20160613T015234_011686_011E6A_D9B1,24.0
21,2016-07-07,Sentinel-1A,S1A_IW_SLC__1SSV_20160707T015208_20160707T015235_012036_012994_319B,24.0
22,2016-07-31,Sentinel-1A,S1A_IW_SLC__1SSV_20160731T015210_20160731T015237_012386_013504_444A,24.0
23,2016-08-24,Sentinel-1A,S1A_IW_SLC__1SDV_20160824T015159_20160824T015226_012736_0140B2_CFAE,24.0
24,2016-09-17,Sentinel-1A,S1A_IW_SLC__1SSV_20160917T015159_20160917T015227_013086_014C2F_15B0,24.0
25,2016-10-05,Sentinel-1B,S1B_IW_SLC__1SSV_20161005T015126_20161005T015155_002365_003FF7_5A7C,18.0
26,2016-10-11,Sentinel-1A,S1A_IW_SLC__1SSV_20161011T015224_20161011T015254_013436_01576E_4D32,6.0
27,2016-10-17,Sentinel-1B,S1B_IW_SLC__1SSV_20161017T015232_20161017T015301_002540_0044A8_EF78,6.0
28,2016-10-29,Sentinel-1B,S1B_IW_SLC__1SDV_20161029T015127_20161029T015155_002715_00498D_5EBF,12.0
29,2016-11-04,Sentinel-1A,S1A_IW_SLC__1SSV_20161104T015224_20161104T015254_013786_016260_804C,6.0
30,2016-11-10,Sentinel-1B,S1B_IW_SLC__1SSV_20161110T015232_20161110T015301_002890_004E75_7521,6.0
31,2016-11-22,Sentinel-1B,S1B_IW_SLC__1SDV_20161122T015126_20161122T015155_003065_005365_77F9,12.0
32,2016-11-28,Sentinel-1A,S1A_IW_SLC__1SSV_20161128T015224_20161128T015253_014136_016D2F_2728,6.0
33,2016-12-04,Sentinel-1B,S1B_IW_SLC__1SDV_20161204T015231_20161204T015301_003240_005856_292D,6.0
34,2016-12-16,Sentinel-1B,S1B_IW_SLC__1SDV_20161216T015129_20161216T015156_003415_005D56_BCED,12.0
35,2016-12-22,Sentinel-1A,S1A_IW_SLC__1SSV_20161222T015223_20161222T015253_014486_017832_1950,6.0
36,2016-12-28,Sentinel-1B,S1B_IW_SLC__1SDV_20161228T015230_20161228T015300_003590_00625C_AA94,6.0
37,2017-01-09,Sentinel-1B,S1B_IW_SLC__1SDV_20170109T015127_20170109T015154_003765_00678C_76CE,12.0
38,2017-01-15,Sentinel-1A,S1A_IW_SLC__1SSV_20170115T015221_20170115T015251_014836_0182EF_5900,6.0
39,2017-01-21,Sentinel-1B,S1B_IW_SLC__1SDV_20170121T015228_20170121T015258_003940_006CB8_2087,6.0
40,2017-02-02,Sentinel-1B,S1B_IW_SLC__1SDV_20170202T015126_20170202T015153_004115_0071E4_B8B1,12.0
41,2017-02-08,Sentinel-1A,S1A_IW_SLC__1SDV_20170208T015208_20170208T015235_015186_018DBD_728B,6.0
42,2017-02-14,Sentinel-1B,S1B_IW_SLC__1SDV_20170214T015228_20170214T015258_004290_007722_2F70,6.0
43,2017-02-26,Sentinel-1B,S1B_IW_SLC__1SDV_20170226T015121_20170226T015148_004465_007C59_6A22,12.0
44,2017-03-10,Sentinel-1B,S1B_IW_SLC__1SDV_20170310T015121_20170310T015148_004640_008177_3043,12.0
45,2017-04-03,Sentinel-1B,S1B_IW_SLC__1SDV_20170403T015121_20170403T015148_004990_008BA1_357B,24.0
46,2017-04-15,Sentinel-1B,S1B_IW_SLC__1SDV_20170415T015122_20170415T015149_005165_0090A0_B076,12.0
47,2017-04-27,Sentinel-1B,S1B_IW_SLC__1SDV_20170427T015122_20170427T015149_005340_0095C5_3B69,12.0
48,2017-05-09,Sentinel-1B,S1B_IW_SLC__1SDV_20170509T015123_20170509T015150_005515_009A9E_9082,12.0
49,2017-05-21,Sentinel-1B,S1B_IW_SLC__1SDV_20170521T015124_20170521T015151_005690_009F7F_6E40,12.0
50,2017-06-02,Sentinel-1B,S1B_IW_SLC__1SDV_20170602T015124_20170602T015151_005865_00A48A_37DE,12.0
51,2017-06-14,Sentinel-1B,S1B_IW_SLC__1SDV_20170614T015125_20170614T015152_006040_00A9AD_9276,12.0
52,2017-06-26,Sentinel-1B,S1B_IW_SLC__1SDV_20170626T015126_20170626T015153_006215_00AEC5_F4AB,12.0
53,2017-07-08,Sentinel-1B,S1B_IW_SLC__1SDV_20170708T015126_20170708T015153_006390_00B3B8_A684,12.0
54,2017-07-20,Sentinel-1B,S1B_IW_SLC__1SDV_20170720T015127_20170720T015154_006565_00B8BA_8D30,12.0
55,2017-08-01,Sentinel-1B,S1B_IW_SLC__1SDV_20170801T015128_20170801T015155_006740_00BDBE_0DAF,12.0
56,2017-08-25,Sentinel-1B,S1B_IW_SLC__1SDV_20170825T015129_20170825T015156_007090_00C7E7_3242,24.0
57,2017-09-06,Sentinel-1B,S1B_IW_SLC__1SDV_20170906T015129_20170906T015156_007265_00CCFC_74B5,12.0
58,2017-09-18,Sentinel-1B,S1B_IW_SLC__1SDV_20170918T015130_20170918T015157_007440_00D221_4BF0,12.0
59,2017-09-30,Sentinel-1B,S1B_IW_SLC__1SDV_20170930T015130_20170930T015157_007615_00D727_F0C6,12.0
60,2017-10-12,Sentinel-1B,S1B_IW_SLC__1SDV_20171012T015130_20171012T015157_007790_00DC24_11BF,12.0
