,sceneDateString,platform,granuleName,dt
0,2014-10-15,Sentinel-1A,S1A_IW_SLC__1SSV_20141015T135806_20141015T135833_002841_003344_F753,
1,2014-11-08,Sentinel-1A,S1A_IW_SLC__1SSV_20141108T135652_20141108T135718_003191_003ACA_475B,24.0
2,2014-12-02,Sentinel-1A,S1A_IW_SLC__1SSV_20141202T135651_20141202T135718_003541_0042B0_C8F4,24.0
3,2014-12-26,Sentinel-1A,S1A_IW_SLC__1SSV_20141226T135650_20141226T135717_003891_004AA6_1621,24.0
4,2015-01-19,Sentinel-1A,S1A_IW_SLC__1SSV_20150119T135649_20150119T135716_004241_005286_56D0,24.0
5,2015-02-12,Sentinel-1A,S1A_IW_SLC__1SSV_20150212T135648_20150212T135715_004591_005A67_3B54,24.0
6,2015-03-08,Sentinel-1A,S1A_IW_SLC__1SSV_20150308T135649_20150308T135716_004941_0062CC_E07A,24.0
7,2015-04-01,Sentinel-1A,S1A_IW_SLC__1SSV_20150401T135649_20150401T135716_005291_006B13_E0F5,24.0
8,2015-04-25,Sentinel-1A,S1A_IW_SLC__1SSV_20150425T135650_20150425T135717_005641_0073A9_DED5,24.0
9,2015-05-19,Sentinel-1A,S1A_IW_SLC__1SSV_20150519T135652_20150519T135719_005991_007B85_64C1,24.0
10,2015-06-12,Sentinel-1A,S1A_IW_SLC__1SSV_20150612T135653_20150612T135720_006341_00857B_93F1,24.0
11,2015-07-06,Sentinel-1A,S1A_IW_SLC__1SSV_20150706T135654_20150706T135721_006691_008F28_035A,24.0
12,2015-07-30,Sentinel-1A,S1A_IW_SLC__1SSV_20150730T135655_20150730T135722_007041_009924_E134,24.0
13,2015-08-23,Sentinel-1A,S1A_IW_SLC__1SSV_20150823T135657_20150823T135724_007391_00A2A6_327B,24.0
14,2015-09-16,Sentinel-1A,S1A_IW_SLC__1SSV_20150916T135657_20150916T135724_007741_00AC1E_056A,24.0
15,2015-10-10,Sentinel-1A,S1A_IW_SLC__1SSV_20151010T135658_20151010T135725_008091_00B57D_2244,24.0
16,2015-11-03,Sentinel-1A,S1A_IW_SLC__1SSV_20151103T135658_20151103T135725_008441_00BEE5_D152,24.0
17,2015-11-27,Sentinel-1A,S1A_IW_SLC__1SSV_20151127T135652_20151127T135719_008791_00C899_4BF5,24.0
18,2015-12-21,Sentinel-1A,S1A_IW_SLC__1SSV_20151221T135651_20151221T135718_009141_00D268_C0E1,24.0
19,2016-01-14,Sentinel-1A,S1A_IW_SLC__1SSV_20160114T135650_20160114T135717_009491_00DC63_C9E0,24.0
20,2016-02-07,Sentinel-1A,S1A_IW_SLC__1SSV_20160207T135650_20160207T135716_009841_00E68D_473D,24.0
21,2016-03-02,Sentinel-1A,S1A_IW_SLC__1SSV_20160302T135649_20160302T135716_010191_00F0A9_A621,24.0
22,2016-03-26,Sentinel-1A,S1A_IW_SLC__1SSV_20160326T135650_20160326T135717_010541_00FA9F_C577,24.0
23,2016-04-19,Sentinel-1A,S1A_IW_SLC__1SSV_20160419T135646_20160419T135713_010891_010507_7818,24.0
24,2016-05-13,Sentinel-1A,S1A_IW_SLC__1SSV_20160513T135652_20160513T135719_011241_011015_057B,24.0
25,2016-06-06,Sentinel-1A,S1A_IW_SLC__1SSV_20160606T135653_20160606T135720_011591_011B60_0338,24.0
26,2016-06-30,Sentinel-1A,S1A_IW_SLC__1SSV_20160630T135655_20160630T135722_011941_01266D_BB39,24.0
27,2016-07-24,Sentinel-1A,S1A_IW_SLC__1SSV_20160724T135656_20160724T135723_012291_0131D8_FC60,24.0
28,2016-08-17,Sentinel-1A,S1A_IW_SLC__1SSV_20160817T135657_20160817T135724_012641_013D6D_1E18,24.0
29,2016-09-10,Sentinel-1A,S1A_IW_SLC__1SSV_20160910T135658_20160910T135725_012991_0148FF_2173,24.0
30,2016-10-04,Sentinel-1A,S1A_IW_SLC__1SSV_20161004T135650_20161004T135718_013341_015464_D5C9,24.0
31,2016-10-28,Sentinel-1A,S1A_IW_SLC__1SSV_20161028T135650_20161028T135718_013691_015F57_AC4D,24.0
32,2016-11-21,Sentinel-1A,S1A_IW_SLC__1SSV_20161121T135649_20161121T135717_014041_016A33_C87C,24.0
33,2016-12-15,Sentinel-1A,S1A_IW_SLC__1SSV_20161215T135649_20161215T135716_014391_017534_33A5,24.0
34,2017-01-08,Sentinel-1A,S1A_IW_SLC__1SSV_20170108T135647_20170108T135715_014741_017FF0_226F,24.0
35,2017-01-26,Sentinel-1B,S1B_IW_SLC__1SDV_20170126T135727_20170126T135757_004020_006F1B_E14A,18.0
36,2017-02-01,Sentinel-1A,S1A_IW_SLC__1SSV_20170201T135646_20170201T135714_015091_018AB7_D403,6.0
37,2017-02-13,Sentinel-1A,S1A_IW_SLC__1SSV_20170213T135656_20170213T135723_015266_019038_C048,12.0
38,2017-02-25,Sentinel-1A,S1A_IW_SLC__1SDV_20170225T135646_20170225T135714_015441_01958F_4850,12.0
39,2017-03-09,Sentinel-1A,S1A_IW_SLC__1SDV_20170309T135646_20170309T135714_015616_019ADC_DE0F,12.0
40,2017-03-21,Sentinel-1A,S1A_IW_SLC__1SDV_20170321T135646_20170321T135714_015791_01A011_BAC7,12.0
41,2017-04-02,Sentinel-1A,S1A_IW_SLC__1SDV_20170402T135646_20170402T135714_015966_01A541_B47F,12.0
42,2017-04-14,Sentinel-1A,S1A_IW_SLC__1SDV_20170414T135647_20170414T135715_016141_01AA96_90C6,12.0
43,2017-04-26,Sentinel-1A,S1A_IW_SLC__1SDV_20170426T135647_20170426T135715_016316_01AFF0_260F,12.0
44,2017-05-08,Sentinel-1A,S1A_IW_SLC__1SDV_20170508T135648_20170508T135716_016491_01B541_A727,12.0
45,2017-05-20,Sentinel-1A,S1A_IW_SLC__1SDV_20170520T135649_20170520T135717_016666_01BA9A_B7BC,12.0
46,2017-06-01,Sentinel-1A,S1A_IW_SLC__1SDV_20170601T135649_20170601T135717_016841_01BFFF_F716,12.0
