,sceneDateString,platform,granuleName,dt
0,2014-12-14,Sentinel-1A,S1A_IW_SLC__1SSV_20141214T015951_20141214T020019_003709_004683_B147,
1,2015-01-07,Sentinel-1A,S1A_IW_SLC__1SSV_20150107T020117_20150107T020144_004059_004E69_FB70,24.0
2,2015-01-31,Sentinel-1A,S1A_IW_SLC__1SSV_20150131T020119_20150131T020146_004409_005638_3BB0,24.0
3,2015-02-24,Sentinel-1A,S1A_IW_SLC__1SSV_20150224T015959_20150224T020026_004759_005E67_C15A,24.0
4,2015-03-20,Sentinel-1A,S1A_IW_SLC__1SSV_20150320T020010_20150320T020037_005109_0066DA_D815,24.0
5,2015-04-01,Sentinel-1A,S1A_IW_SLC__1SDV_20150401T020008_20150401T020035_005284_006AF0_B58E,12.0
6,2015-04-13,Sentinel-1A,S1A_IW_SLC__1SSV_20150413T020008_20150413T020035_005459_006F6D_CE53,12.0
7,2015-05-07,Sentinel-1A,S1A_IW_SLC__1SSV_20150507T015958_20150507T020025_005809_007783_DEA7,24.0
8,2015-05-31,Sentinel-1A,S1A_IW_SLC__1SSV_20150531T020001_20150531T020028_006159_008023_CED0,24.0
9,2015-06-24,Sentinel-1A,S1A_IW_SLC__1SSV_20150624T020018_20150624T020046_006509_008A40_1542,24.0
10,2015-07-18,Sentinel-1A,S1A_IW_SLC__1SSV_20150718T020018_20150718T020046_006859_0093FC_1F02,24.0
11,2015-08-11,Sentinel-1A,S1A_IW_SLC__1SSV_20150811T020020_20150811T020048_007209_009DB6_7197,24.0
12,2015-09-04,Sentinel-1A,S1A_IW_SLC__1SSV_20150904T020021_20150904T020049_007559_00A743_CBA9,24.0
13,2015-11-15,Sentinel-1A,S1A_IW_SLC__1SSV_20151115T020016_20151115T020044_008609_00C380_D76A,72.0
14,2016-01-26,Sentinel-1A,S1A_IW_SLC__1SSV_20160126T020014_20160126T020041_009659_00E14D_2E8B,72.0
15,2016-02-19,Sentinel-1A,S1A_IW_SLC__1SSV_20160219T020014_20160219T020041_010009_00EB80_4CC5,24.0
16,2016-03-14,Sentinel-1A,S1A_IW_SLC__1SDV_20160314T015957_20160314T020024_010359_00F590_5128,24.0
17,2016-04-07,Sentinel-1A,S1A_IW_SLC__1SSV_20160407T020015_20160407T020042_010709_00FF8A_1364,24.0
18,2016-05-01,Sentinel-1A,S1A_IW_SLC__1SSV_20160501T020016_20160501T020043_011059_010A54_4C11,24.0
19,2016-05-25,Sentinel-1A,S1A_IW_SLC__1SSV_20160525T020020_20160525T020047_011409_01159A_167F,24.0
20,2016-08-05,Sentinel-1A,S1A_IW_SLC__1SSV_20160805T020025_20160805T020052_012459_013772_7996,72.0
21,2016-08-29,Sentinel-1A,S1A_IW_SLC__1SDV_20160829T020005_20160829T020032_012809_014324_6F0D,24.0
22,2016-09-22,Sentinel-1A,S1A_IW_SLC__1SSV_20160922T020025_20160922T020052_013159_014E98_AF82,24.0
23,2016-10-10,Sentinel-1B,S1B_IW_SLC__1SSV_20161010T015944_20161010T020013_002438_0041E0_0267,18.0
24,2016-10-22,Sentinel-1B,S1B_IW_SLC__1SSV_20161022T020049_20161022T020119_002613_0046A6_918B,12.0
25,2016-11-03,Sentinel-1B,S1B_IW_SLC__1SDV_20161103T015944_20161103T020012_002788_004B8D_7876,12.0
26,2016-11-15,Sentinel-1B,S1B_IW_SLC__1SSV_20161115T020049_20161115T020118_002963_005082_D0B3,12.0
27,2016-11-27,Sentinel-1B,S1B_IW_SLC__1SDV_20161127T015943_20161127T020012_003138_005566_BDE3,12.0
28,2016-12-03,Sentinel-1A,S1A_IW_SLC__1SSV_20161203T020043_20161203T020113_014209_016F6E_6169,6.0
29,2016-12-09,Sentinel-1B,S1B_IW_SLC__1SDV_20161209T020048_20161209T020118_003313_005A72_B107,6.0
30,2016-12-21,Sentinel-1B,S1B_IW_SLC__1SDV_20161221T015942_20161221T020011_003488_005F65_FED7,12.0
31,2016-12-27,Sentinel-1A,S1A_IW_SLC__1SSV_20161227T020043_20161227T020112_014559_017A6E_9FDF,6.0
32,2017-01-02,Sentinel-1B,S1B_IW_SLC__1SDV_20170102T015959_20170102T020029_003663_00648D_2975,6.0
33,2017-01-14,Sentinel-1B,S1B_IW_SLC__1SDV_20170114T015927_20170114T015954_003838_0069A5_10C3,12.0
34,2017-01-20,Sentinel-1A,S1A_IW_SLC__1SSV_20170120T020041_20170120T020110_014909_018541_2702,6.0
35,2017-01-26,Sentinel-1B,S1B_IW_SLC__1SDV_20170126T015959_20170126T020028_004013_006EE6_EEF2,6.0
36,2017-02-07,Sentinel-1B,S1B_IW_SLC__1SDV_20170207T015940_20170207T020009_004188_00740F_04BC,12.0
37,2017-02-19,Sentinel-1B,S1B_IW_SLC__1SDV_20170219T015958_20170219T020028_004363_007959_C4A1,12.0
38,2017-03-03,Sentinel-1B,S1B_IW_SLC__1SDV_20170303T015934_20170303T020001_004538_007E78_2B6C,12.0
39,2017-03-15,Sentinel-1B,S1B_IW_SLC__1SDV_20170315T015934_20170315T020002_004713_0083A4_E266,12.0
40,2017-03-27,Sentinel-1B,S1B_IW_SLC__1SDV_20170327T015935_20170327T020003_004888_0088A3_76C6,12.0
41,2017-04-08,Sentinel-1B,S1B_IW_SLC__1SDV_20170408T015935_20170408T020003_005063_008DB1_4E2C,12.0
42,2017-04-20,Sentinel-1B,S1B_IW_SLC__1SDV_20170420T015936_20170420T020007_005238_0092B9_F2AC,12.0
43,2017-05-02,Sentinel-1B,S1B_IW_SLC__1SDV_20170502T015936_20170502T020002_005413_0097CF_49DB,12.0
44,2017-05-14,Sentinel-1B,S1B_IW_SLC__1SDV_20170514T015937_20170514T020005_005588_009C97_4670,12.0
45,2017-05-26,Sentinel-1B,S1B_IW_SLC__1SDV_20170526T015937_20170526T020005_005763_00A197_38B5,12.0
46,2017-06-07,Sentinel-1B,S1B_IW_SLC__1SDV_20170607T015946_20170607T020014_005938_00A6AC_4166,12.0
47,2017-07-01,Sentinel-1B,S1B_IW_SLC__1SDV_20170701T015948_20170701T020016_006288_00B0E0_FA2B,24.0
48,2017-07-13,Sentinel-1B,S1B_IW_SLC__1SDV_20170713T015949_20170713T020017_006463_00B5D1_EF74,12.0
49,2017-08-06,Sentinel-1B,S1B_IW_SLC__1SDV_20170806T015950_20170806T020018_006813_00BFD7_3936,24.0
50,2017-08-18,Sentinel-1B,S1B_IW_SLC__1SDV_20170818T015950_20170818T020018_006988_00C4F5_942A,12.0
51,2017-09-11,Sentinel-1B,S1B_IW_SLC__1SDV_20170911T015951_20170911T020019_007338_00CF24_67AF,24.0
52,2017-09-23,Sentinel-1B,S1B_IW_SLC__1SDV_20170923T015952_20170923T020020_007513_00D43A_28CC,12.0
