,sceneDateString,platform,granuleName,dt
0,2015-06-03,Sentinel-1A,S1A_IW_SLC__1SSV_20150603T142113_20150603T142140_006210_0081A6_F662,
1,2015-06-27,Sentinel-1A,S1A_IW_SLC__1SSV_20150627T142115_20150627T142142_006560_008BAD_8ADF,24.0
2,2015-07-21,Sentinel-1A,S1A_IW_SLC__1SSV_20150721T142115_20150721T142142_006910_009572_8B30,24.0
3,2015-08-14,Sentinel-1A,S1A_IW_SLC__1SSV_20150814T142117_20150814T142144_007260_009F1C_3E9D,24.0
4,2015-09-07,Sentinel-1A,S1A_IW_SLC__1SSV_20150907T142118_20150907T142145_007610_00A8A7_D4B7,24.0
5,2015-10-01,Sentinel-1A,S1A_IW_SLC__1SSV_20151001T142143_20151001T142210_007960_00B208_F0FD,24.0
6,2015-10-25,Sentinel-1A,S1A_IW_SLC__1SSV_20151025T142118_20151025T142145_008310_00BB7E_EA4F,24.0
7,2015-11-18,Sentinel-1A,S1A_IW_SLC__1SSV_20151118T142137_20151118T142204_008660_00C4F6_C9A7,24.0
8,2015-12-12,Sentinel-1A,S1A_IW_SLC__1SSV_20151212T142137_20151212T142205_009010_00CEBA_322E,24.0
9,2016-01-05,Sentinel-1A,S1A_IW_SLC__1SSV_20160105T142136_20160105T142204_009360_00D8A2_B7A5,24.0
10,2016-01-29,Sentinel-1A,S1A_IW_SLC__1SSV_20160129T142135_20160129T142203_009710_00E2CF_468B,24.0
11,2016-02-22,Sentinel-1A,S1A_IW_SLC__1SSV_20160222T142135_20160222T142203_010060_00ED05_43AE,24.0
12,2016-03-17,Sentinel-1A,S1A_IW_SLC__1SSV_20160317T142135_20160317T142203_010410_00F6E5_7BFD,24.0
13,2016-04-10,Sentinel-1A,S1A_IW_SLC__1SSV_20160410T142136_20160410T142204_010760_010117_5956,24.0
14,2016-05-04,Sentinel-1A,S1A_IW_SLC__1SSV_20160504T142137_20160504T142205_011110_010BE2_30FB,24.0
15,2016-05-28,Sentinel-1A,S1A_IW_SLC__1SSV_20160528T142116_20160528T142143_011460_011746_D37A,24.0
16,2016-07-15,Sentinel-1A,S1A_IW_SLC__1SSV_20160715T142144_20160715T142211_012160_012D97_92CD,48.0
17,2016-08-08,Sentinel-1A,S1A_IW_SLC__1SSV_20160808T142120_20160808T142147_012510_013923_7032,24.0
18,2016-09-01,Sentinel-1A,S1A_IW_SLC__1SSV_20160901T142121_20160901T142148_012860_0144D7_98D2,24.0
19,2016-09-13,Sentinel-1A,S1A_IW_SLC__1SDV_20160913T142144_20160913T142211_013035_014A71_E2A7,12.0
20,2016-09-25,Sentinel-1A,S1A_IW_SLC__1SSV_20160925T142152_20160925T142222_013210_015043_4832,12.0
21,2016-10-07,Sentinel-1A,S1A_IW_SLC__1SDV_20161007T142133_20161007T142201_013385_0155BE_E787,12.0
22,2016-10-19,Sentinel-1A,S1A_IW_SLC__1SSV_20161019T142152_20161019T142221_013560_015B53_6249,12.0
23,2016-10-31,Sentinel-1A,S1A_IW_SLC__1SDV_20161031T142133_20161031T142201_013735_0160AF_977B,12.0
