,sceneDateString,platform,granuleName,dt
0,2014-11-06,Sentinel-1A,S1A_IW_SLC__1SSV_20141106T141313_20141106T141340_003162_003A2D_B2C4,
1,2014-11-30,Sentinel-1A,S1A_IW_SLC__1SSV_20141130T141313_20141130T141340_003512_004203_9EF1,24.0
2,2014-12-24,Sentinel-1A,S1A_IW_SLC__1SSV_20141224T141311_20141224T141339_003862_0049FB_92B1,24.0
3,2015-01-17,Sentinel-1A,S1A_IW_SLC__1SSV_20150117T141311_20150117T141338_004212_0051DE_B4EF,24.0
4,2015-01-29,Sentinel-1A,S1A_IW_SLC__1SSV_20150129T141316_20150129T141343_004387_0055AD_97A0,12.0
5,2015-02-10,Sentinel-1A,S1A_IW_SLC__1SSV_20150210T141316_20150210T141343_004562_0059BA_198E,12.0
6,2015-02-22,Sentinel-1A,S1A_IW_SLC__1SSV_20150222T141316_20150222T141343_004737_005DCC_506C,12.0
7,2015-03-06,Sentinel-1A,S1A_IW_SLC__1SSV_20150306T141316_20150306T141343_004912_006210_3101,12.0
8,2015-03-18,Sentinel-1A,S1A_IW_SLC__1SSV_20150318T141316_20150318T141343_005087_00664B_AF58,12.0
9,2015-03-30,Sentinel-1A,S1A_IW_SLC__1SSV_20150330T141317_20150330T141344_005262_006A63_0D45,12.0
10,2015-04-11,Sentinel-1A,S1A_IW_SLC__1SSV_20150411T141317_20150411T141344_005437_006ECF_6910,12.0
11,2015-04-23,Sentinel-1A,S1A_IW_SLC__1SSV_20150423T141317_20150423T141344_005612_0072FB_2B6E,12.0
12,2015-06-10,Sentinel-1A,S1A_IW_SLC__1SSV_20150610T141315_20150610T141342_006312_00849F_14D5,48.0
13,2015-07-04,Sentinel-1A,S1A_IW_SLC__1SSV_20150704T141315_20150704T141342_006662_008E59_5B8E,24.0
14,2015-07-28,Sentinel-1A,S1A_IW_SLC__1SSV_20150728T141317_20150728T141344_007012_00985B_01BD,24.0
15,2015-08-21,Sentinel-1A,S1A_IW_SLC__1SSV_20150821T141318_20150821T141345_007362_00A1DB_BF1F,24.0
16,2015-09-14,Sentinel-1A,S1A_IW_SLC__1SSV_20150914T141319_20150914T141346_007712_00AB5A_4F02,24.0
17,2015-10-08,Sentinel-1A,S1A_IW_SLC__1SSV_20151008T141320_20151008T141346_008062_00B4B4_A465,24.0
18,2015-11-01,Sentinel-1A,S1A_IW_SLC__1SSV_20151101T141319_20151101T141346_008412_00BE2C_EC35,24.0
19,2015-11-25,Sentinel-1A,S1A_IW_SLC__1SSV_20151125T141313_20151125T141340_008762_00C7C0_A5CC,24.0
20,2015-12-19,Sentinel-1A,S1A_IW_SLC__1SSV_20151219T141313_20151219T141340_009112_00D18D_9EE3,24.0
21,2016-01-12,Sentinel-1A,S1A_IW_SLC__1SSV_20160112T141312_20160112T141339_009462_00DB8B_A0BA,24.0
22,2016-02-05,Sentinel-1A,S1A_IW_SLC__1SSV_20160205T141311_20160205T141338_009812_00E5B8_7CCC,24.0
23,2016-02-29,Sentinel-1A,S1A_IW_SLC__1SSV_20160229T141311_20160229T141338_010162_00EFD9_002B,24.0
24,2016-04-17,Sentinel-1A,S1A_IW_SLC__1SSV_20160417T141312_20160417T141339_010862_010423_319C,48.0
25,2016-05-11,Sentinel-1A,S1A_IW_SLC__1SSV_20160511T141314_20160511T141341_011212_010F22_4F5B,24.0
