,sceneDateString,platform,granuleName,dt
0,2016-03-24,Sentinel-1A,S1A_IW_SLC__1SDV_20160324T021638_20160324T021705_010505_00F99C_6528,
1,2016-09-20,Sentinel-1A,S1A_IW_SLC__1SDV_20160920T021714_20160920T021744_013130_014DA6_C67B,180.0
2,2017-03-01,Sentinel-1B,S1B_IW_SLC__1SDV_20170301T021601_20170301T021628_004509_007D97_C9F6,162.0
3,2017-03-13,Sentinel-1B,S1B_IW_SLC__1SDV_20170313T021602_20170313T021628_004684_0082C1_53D2,12.0
4,2017-03-25,Sentinel-1B,S1B_IW_SLC__1SDV_20170325T021602_20170325T021629_004859_0087CB_D5DB,12.0
5,2017-04-06,Sentinel-1B,S1B_IW_SLC__1SDV_20170406T021602_20170406T021629_005034_008CDC_DE5D,12.0
6,2017-04-18,Sentinel-1B,S1B_IW_SLC__1SDV_20170418T021603_20170418T021630_005209_0091DE_4099,12.0
7,2017-04-30,Sentinel-1B,S1B_IW_SLC__1SDV_20170430T021603_20170430T021630_005384_0096F9_C9F7,12.0
8,2017-05-12,Sentinel-1B,S1B_IW_SLC__1SDV_20170512T021604_20170512T021631_005559_009BCA_0B23,12.0
9,2017-05-24,Sentinel-1B,S1B_IW_SLC__1SDV_20170524T021604_20170524T021631_005734_00A0BC_DE1D,12.0
10,2017-06-05,Sentinel-1B,S1B_IW_SLC__1SDV_20170605T021605_20170605T021632_005909_00A5D1_8303,12.0
11,2017-06-17,Sentinel-1B,S1B_IW_SLC__1SDV_20170617T021606_20170617T021633_006084_00AAF9_5A04,12.0
12,2017-06-29,Sentinel-1B,S1B_IW_SLC__1SDV_20170629T021607_20170629T021634_006259_00B00C_EC5E,12.0
13,2017-07-11,Sentinel-1B,S1B_IW_SLC__1SDV_20170711T021607_20170711T021634_006434_00B4FC_90D4,12.0
14,2017-07-23,Sentinel-1B,S1B_IW_SLC__1SDV_20170723T021608_20170723T021635_006609_00B9FB_7C6E,12.0
15,2017-08-04,Sentinel-1B,S1B_IW_SLC__1SDV_20170804T021609_20170804T021636_006784_00BF00_165D,12.0
16,2017-08-16,Sentinel-1B,S1B_IW_SLC__1SDV_20170816T021609_20170816T021636_006959_00C41C_4318,12.0
17,2017-08-28,Sentinel-1B,S1B_IW_SLC__1SDV_20170828T021610_20170828T021637_007134_00C92E_D9EA,12.0
18,2017-09-09,Sentinel-1B,S1B_IW_SLC__1SDV_20170909T021610_20170909T021637_007309_00CE47_B892,12.0
19,2017-09-21,Sentinel-1B,S1B_IW_SLC__1SDV_20170921T021611_20170921T021638_007484_00D364_607E,12.0
20,2017-10-03,Sentinel-1B,S1B_IW_SLC__1SDV_20171003T021611_20171003T021638_007659_00D869_EC8B,12.0
