,sceneDateString,platform,granuleName,dt
0,2014-11-05,Sentinel-1A,S1A_IW_SLC__1SSV_20141105T013517_20141105T013544_003140_0039BE_35AF,
1,2014-11-29,Sentinel-1A,S1A_IW_SLC__1SSV_20141129T013517_20141129T013544_003490_00417F_EF81,24.0
2,2014-12-23,Sentinel-1A,S1A_IW_SLC__1SSV_20141223T013516_20141223T013543_003840_00497E_C49C,24.0
3,2015-01-16,Sentinel-1A,S1A_IW_SLC__1SSV_20150116T013515_20150116T013542_004190_00515E_CCE2,24.0
4,2015-02-09,Sentinel-1A,S1A_IW_SLC__1SSV_20150209T013514_20150209T013542_004540_00593B_5039,24.0
5,2015-03-17,Sentinel-1A,S1A_IW_SLC__1SSV_20150317T013515_20150317T013542_005065_0065C6_D7F9,36.0
6,2015-03-29,Sentinel-1A,S1A_IW_SLC__1SDV_20150329T013522_20150329T013549_005240_0069E3_30FF,12.0
7,2015-04-10,Sentinel-1A,S1A_IW_SLC__1SSV_20150410T013515_20150410T013542_005415_006E3D_C667,12.0
8,2015-05-04,Sentinel-1A,S1A_IW_SLC__1SSV_20150504T013517_20150504T013544_005765_007675_5E6E,24.0
9,2015-05-28,Sentinel-1A,S1A_IW_SLC__1SSV_20150528T013518_20150528T013545_006115_007F06_6743,24.0
10,2015-08-08,Sentinel-1A,S1A_IW_SLC__1SSV_20150808T013522_20150808T013548_007165_009C8C_6F12,72.0
11,2015-09-01,Sentinel-1A,S1A_IW_SLC__1SSV_20150901T013523_20150901T013550_007515_00A619_E454,24.0
12,2015-09-25,Sentinel-1A,S1A_IW_SLC__1SSV_20150925T013523_20150925T013550_007865_00AF79_B49C,24.0
13,2015-11-12,Sentinel-1A,S1A_IW_SLC__1SSV_20151112T013543_20151112T013610_008565_00C244_42C2,48.0
14,2016-01-23,Sentinel-1A,S1A_IW_SLC__1SSV_20160123T013541_20160123T013608_009615_00E00C_DDD2,72.0
15,2016-02-16,Sentinel-1A,S1A_IW_SLC__1SSV_20160216T013540_20160216T013608_009965_00EA3C_73E3,24.0
16,2016-04-28,Sentinel-1A,S1A_IW_SLC__1SSV_20160428T013543_20160428T013610_011015_0108F4_5AC2,72.0
17,2016-05-10,Sentinel-1A,S1A_IW_SLC__1SDV_20160510T013525_20160510T013553_011190_010E71_CFB9,12.0
18,2016-05-22,Sentinel-1A,S1A_IW_SLC__1SSV_20160522T013544_20160522T013611_011365_01142F_31B3,12.0
19,2016-06-15,Sentinel-1A,S1A_IW_SLC__1SSV_20160615T013545_20160615T013612_011715_011F54_C4B6,24.0
20,2016-07-09,Sentinel-1A,S1A_IW_SLC__1SSV_20160709T013547_20160709T013614_012065_012A8B_53D7,24.0
21,2016-08-02,Sentinel-1A,S1A_IW_SLC__1SDV_20160802T013548_20160802T013615_012415_013601_43AC,24.0
22,2016-09-19,Sentinel-1A,S1A_IW_SLC__1SSV_20160919T013549_20160919T013617_013115_014D23_8CF0,48.0
23,2016-10-07,Sentinel-1B,S1B_IW_SLC__1SSV_20161007T013459_20161007T013528_002394_0040B6_8402,18.0
24,2016-10-13,Sentinel-1A,S1A_IW_SLC__1SSV_20161013T013551_20161013T013621_013465_015856_7531,6.0
25,2016-10-31,Sentinel-1B,S1B_IW_SLC__1SDV_20161031T013459_20161031T013528_002744_004A54_9126,18.0
26,2016-11-06,Sentinel-1A,S1A_IW_SLC__1SSV_20161106T013551_20161106T013621_013815_01633C_6CEA,6.0
27,2016-11-24,Sentinel-1B,S1B_IW_SLC__1SDV_20161124T013459_20161124T013528_003094_00542A_B483,18.0
28,2016-11-30,Sentinel-1A,S1A_IW_SLC__1SSV_20161130T013551_20161130T013621_014165_016E12_18C2,6.0
29,2016-12-18,Sentinel-1B,S1B_IW_SLC__1SDV_20161218T013458_20161218T013527_003444_005E23_11A5,18.0
30,2016-12-24,Sentinel-1A,S1A_IW_SLC__1SSV_20161224T013550_20161224T013620_014515_017915_0BC4,6.0
31,2016-12-30,Sentinel-1B,S1B_IW_SLC__1SDV_20161230T013508_20161230T013538_003619_00633A_7073,6.0
32,2017-01-17,Sentinel-1A,S1A_IW_SLC__1SSV_20170117T013548_20170117T013618_014865_0183D3_1E93,18.0
33,2017-01-23,Sentinel-1B,S1B_IW_SLC__1SDV_20170123T013506_20170123T013536_003969_006D94_B8C6,6.0
34,2017-02-16,Sentinel-1B,S1B_IW_SLC__1SDV_20170216T013505_20170216T013535_004319_007801_05DB,24.0
35,2017-02-28,Sentinel-1B,S1B_IW_SLC__1SDV_20170228T013504_20170228T013532_004494_007D2A_5F20,12.0
36,2017-04-29,Sentinel-1B,S1B_IW_SLC__1SDV_20170429T013506_20170429T013520_005369_00968F_A1E6,60.0
37,2017-05-11,Sentinel-1B,S1B_IW_SLC__1SDV_20170511T013507_20170511T013535_005544_009B5F_658D,12.0
