,sceneDateString,platform,granuleName,dt
0,2014-11-15,Sentinel-1A,S1A_IW_SLC__1SSV_20141115T134840_20141115T134907_003293_003D08_26B5,
1,2014-12-09,Sentinel-1A,S1A_IW_SLC__1SSV_20141209T134839_20141209T134906_003643_00450B_A34B,24.0
2,2015-01-02,Sentinel-1A,S1A_IW_SLC__1SSV_20150102T134838_20150102T134905_003993_004CED_93F2,24.0
3,2015-01-26,Sentinel-1A,S1A_IW_SLC__1SSV_20150126T134838_20150126T134904_004343_0054C0_07C4,24.0
4,2015-03-03,Sentinel-1A,S1A_IW_SLC__1SSV_20150303T134837_20150303T134904_004868_00610C_2703,36.0
5,2015-03-27,Sentinel-1A,S1A_IW_SLC__1SSV_20150327T134838_20150327T134905_005218_00696E_A194,24.0
6,2015-04-20,Sentinel-1A,S1A_IW_SLC__1SSV_20150420T134836_20150420T134903_005568_0071FB_6428,24.0
7,2015-05-14,Sentinel-1A,S1A_IW_SLC__1SSV_20150514T134837_20150514T134904_005918_0079FD_E39C,24.0
8,2015-06-07,Sentinel-1A,S1A_IW_SLC__1SSV_20150607T134839_20150607T134906_006268_008362_1490,24.0
9,2015-07-01,Sentinel-1A,S1A_IW_SLC__1SSV_20150701T134839_20150701T134906_006618_008D39_EF75,24.0
10,2015-07-25,Sentinel-1A,S1A_IW_SLC__1SSV_20150725T134841_20150725T134908_006968_009720_7038,24.0
11,2015-08-18,Sentinel-1A,S1A_IW_SLC__1SSV_20150818T134842_20150818T134909_007318_00A0B9_12F1,24.0
12,2015-09-11,Sentinel-1A,S1A_IW_SLC__1SSV_20150911T134843_20150911T134910_007668_00AA45_F02E,24.0
13,2015-10-05,Sentinel-1A,S1A_IW_SLC__1SSV_20151005T134843_20151005T134910_008018_00B398_E4BD,24.0
14,2015-10-29,Sentinel-1A,S1A_IW_SLC__1SSV_20151029T134902_20151029T134931_008368_00BD07_56B6,24.0
15,2015-11-22,Sentinel-1A,S1A_IW_SLC__1SSV_20151122T134838_20151122T134904_008718_00C699_98CC,24.0
16,2015-12-16,Sentinel-1A,S1A_IW_SLC__1SSV_20151216T134836_20151216T134903_009068_00D05A_67AC,24.0
17,2016-01-09,Sentinel-1A,S1A_IW_SLC__1SSV_20160109T134836_20160109T134903_009418_00DA53_BBF1,24.0
18,2016-02-02,Sentinel-1A,S1A_IW_SLC__1SSV_20160202T134835_20160202T134902_009768_00E47C_4907,24.0
19,2016-02-26,Sentinel-1A,S1A_IW_SLC__1SSV_20160226T134835_20160226T134902_010118_00EEAE_F111,24.0
20,2016-03-21,Sentinel-1A,S1A_IW_SLC__1SSV_20160321T134835_20160321T134902_010468_00F899_D8DE,24.0
21,2016-04-14,Sentinel-1A,S1A_IW_SLC__1SSV_20160414T134834_20160414T134901_010818_0102E1_BCA3,24.0
22,2016-05-08,Sentinel-1A,S1A_IW_SLC__1SSV_20160508T134837_20160508T134904_011168_010DCA_0D27,24.0
23,2016-06-01,Sentinel-1A,S1A_IW_SLC__1SSV_20160601T134841_20160601T134908_011518_011929_785B,24.0
24,2016-07-19,Sentinel-1A,S1A_IW_SLC__1SSV_20160719T134850_20160719T134917_012218_012F7E_1AA3,48.0
25,2016-08-12,Sentinel-1A,S1A_IW_SLC__1SSV_20160812T134910_20160812T134937_012568_013B0E_5639,24.0
26,2016-09-05,Sentinel-1A,S1A_IW_SLC__1SSV_20160905T134846_20160905T134913_012918_0146C0_B48D,24.0
