,sceneDateString,platform,granuleName,dt
0,2014-11-16,Sentinel-1A,S1A_IW_SLC__1SSV_20141116T142924_20141116T142951_003308_003D53_9A89,
1,2015-05-27,Sentinel-1A,S1A_IW_SLC__1SDV_20150527T142924_20150527T142954_006108_007ED0_B53F,192.0
2,2015-06-08,Sentinel-1A,S1A_IW_SLC__1SSV_20150608T142926_20150608T142953_006283_0083CF_7778,12.0
3,2015-06-20,Sentinel-1A,S1A_IW_SLC__1SDV_20150620T142925_20150620T142955_006458_0088D6_FF38,12.0
4,2015-07-02,Sentinel-1A,S1A_IW_SLC__1SSV_20150702T142926_20150702T142953_006633_008D9A_E63E,12.0
5,2015-07-14,Sentinel-1A,S1A_IW_SLC__1SDV_20150714T142926_20150714T142955_006808_009295_2153,12.0
6,2015-07-26,Sentinel-1A,S1A_IW_SLC__1SSV_20150726T142927_20150726T142954_006983_009786_F304,12.0
7,2015-08-07,Sentinel-1A,S1A_IW_SLC__1SDV_20150807T142927_20150807T142957_007158_009C5D_7334,12.0
8,2015-08-19,Sentinel-1A,S1A_IW_SLC__1SSV_20150819T142929_20150819T142956_007333_00A11E_62FC,12.0
9,2015-08-31,Sentinel-1A,S1A_IW_SLC__1SDV_20150831T142928_20150831T142958_007508_00A5ED_7824,12.0
10,2015-09-12,Sentinel-1A,S1A_IW_SLC__1SSV_20150912T142930_20150912T142957_007683_00AAA5_BF08,12.0
11,2015-09-24,Sentinel-1A,S1A_IW_SLC__1SDV_20150924T142929_20150924T142959_007858_00AF4D_3C1A,12.0
12,2015-10-06,Sentinel-1A,S1A_IW_SLC__1SSV_20151006T142930_20151006T142957_008033_00B3F5_F58F,12.0
13,2015-10-18,Sentinel-1A,S1A_IW_SLC__1SDV_20151018T142929_20151018T142959_008208_00B8C0_27A5,12.0
14,2015-11-11,Sentinel-1A,S1A_IW_SLC__1SDV_20151111T142951_20151111T143021_008558_00C212_6D82,24.0
15,2015-11-23,Sentinel-1A,S1A_IW_SLC__1SSV_20151123T142949_20151123T143021_008733_00C6F6_034B,12.0
16,2015-12-05,Sentinel-1A,S1A_IW_SLC__1SDV_20151205T142951_20151205T143020_008908_00CBF0_0B71,12.0
17,2015-12-17,Sentinel-1A,S1A_IW_SLC__1SSV_20151217T142948_20151217T143020_009083_00D0BD_7033,12.0
18,2015-12-29,Sentinel-1A,S1A_IW_SLC__1SDV_20151229T142950_20151229T143019_009258_00D5C2_D3CA,12.0
19,2016-01-10,Sentinel-1A,S1A_IW_SLC__1SSV_20160110T142947_20160110T143019_009433_00DAB7_083A,12.0
20,2016-01-22,Sentinel-1A,S1A_IW_SLC__1SDV_20160122T142949_20160122T143019_009608_00DFD6_8E8B,12.0
21,2016-02-03,Sentinel-1A,S1A_IW_SLC__1SSV_20160203T142947_20160203T143018_009783_00E4E8_F066,12.0
22,2016-02-15,Sentinel-1A,S1A_IW_SLC__1SDV_20160215T142948_20160215T143018_009958_00EA04_5E9A,12.0
23,2016-02-27,Sentinel-1A,S1A_IW_SLC__1SSV_20160227T142947_20160227T143018_010133_00EF16_E2C9,12.0
